63cff02ee037183a8c260ea8,5d5a48a67ca41f0001e97f8b,5909955b9e26f200016e1247,60f22ce19d3c98dacd6d464f,5e63e793e50a6316a75213c4,63fcb3abff7248e2177ddb48,5e0b8d156aab7c39d83797d3,55c233f8fdf99b3d97521979,605d7729ce17bf97fbf2d781,5e74e1df5ae15103a51a1ee8,60fcdfac81bec43078236e55,60dd073dffbfd7e857ea836b,60fdc5c27df92fe62a07a0c3,5e7995061a79d455837f95e1,58a2952076c5b7000166150a,5d8a797185a7f1001a27c3cf,DPR,LLAMA,GPT4,Claim,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
0.0,,,,,,,,,,,,,,,,0,1,1,Viral infections that affect plants are generally not controlled.,SUPPORTS,0,1,1.0,0,1,1,1
1.0,,,,,,,,,,,,1.0,,,,0,0,0,Peer Gynt is the builder of a little house.,SUPPORTS,0,1,0.0,0,1,0,1
0.0,,,0.0,,,,,,,,,,,,,0,1,1,Pyrrhus\'s reign came to an end when he lost his life in Beneventum.,REFUTES,0,0,0.0,1,0,1,0
0.0,,,1.0,,,,,,,,,,,,,1,0,1,Monaco is a city-state.,SUPPORTS,1,0,1.0,1,1,1,1
1.0,,,,,,,,,,,,,,,,0,0,0,The Buckingham Palace used to stink due to poor ventilation.,SUPPORTS,1,1,1.0,1,1,1,1
0.0,,,,,,,,,,,,,,,,0,1,0,No events can be held at the Pantheon of Rome.,REFUTES,0,1,0.0,0,0,1,0
1.0,,,,,,,1.0,,,,,,,,,0,0,1,The prison blocks in Alcatraz were named after famous cities in the United States.,REFUTES,1,0,1.0,0,0,0,0
0.0,,,,,,,,,1.0,,,,,,,0,0,1,"The wedding in the movie The Deer Hunter had a real-life Presbyterian minister perform the rite, even though the church was Catholic.",REFUTES,1,0,1.0,0,0,0,0
1.0,1.0,,,1.0,,,,,,,,,,,,0,0,0,President John Quincy Adams birthplace has been changed to his middle name as well as many areas open to the public in the United States speaking well of the statesman and diplomat.,SUPPORTS,0,1,0.0,0,1,0,1
,0.0,,,,,,,,,,,0.0,,0.0,,0,1,1,Tony Gwynn played for the same NL team his whole MLB career.,SUPPORTS,1,1,1.0,1,1,1,1
,1.0,,,,,,0.0,,,,0.0,,,,,0,0,0,Mansfield Park\'s reviews were very delayed on this book.,SUPPORTS,0,1,0.0,0,1,1,1
,1.0,,,,,,,,1.0,,,,0.0,,,0,0,1,McCartney\'s now wife is much older than him.,REFUTES,0,1,1.0,0,0,1,0
,1.0,,,,,,,,,,,,,,1.0,0,1,1,"Penn\'s older brother, Michael, won two Academy awards while Sean won three Academy awards between 1995 and 2008.",REFUTES,1,0,1.0,1,0,1,0
,1.0,,,,,,,,,,,1.0,0.0,,,0,1,1,The film Captain America: Civil War was the least successful film in the Marvel Cinematic Universe.,REFUTES,1,1,1.0,0,0,1,0
,0.0,,0.0,,0.0,,,0.0,,,,,,,,0,0,1,The UN was instrumental in ending Apartheid.,SUPPORTS,1,1,0.0,0,1,1,1
,1.0,,,,,,,,,,,,,,,0,1,0,Lange is a dedicated Catholic.,REFUTES,0,0,1.0,1,0,0,0
,1.0,1.0,1.0,,,,1.0,,,,,,,,,0,1,1,There is no troubling string of self-terminations carried out by Foxconn\'s well-treated workers.,REFUTES,1,1,1.0,1,0,1,0
,1.0,,,,,,1.0,,,1.0,,,,,,1,1,1,The British won the Battles of Saratoga.,REFUTES,0,1,1.0,1,0,1,0
,0.0,,,,0.0,,,1.0,,,,,,,,0,0,0,Bryan Adams became the ultimate vegan when he desired to shout about his vegan diet and moral superiority so hard that doing so got him called racist.,SUPPORTS,0,0,0.0,0,1,0,1
,1.0,,1.0,,,,,,,,,,,0.0,,1,1,0,"Satchel Paige\'s career lasted for eighteen years, playing until 1965.",REFUTES,1,1,1.0,1,0,1,0
,1.0,,,,,,,,,,,,,,1.0,0,1,1,Princess Diana advocated proximity anti-personnel explosives as a way to keep British soldiers safe and maintain minimal casualties for combat participants and civilians.,REFUTES,1,1,1.0,1,0,1,0
,1.0,,,,,1.0,,,,,,,,,,0,1,1,The colosseum never inspired other structures.,REFUTES,1,1,1.0,1,0,1,0
,0.0,,1.0,,,,,,,,,,,1.0,,1,1,1,"Era Records went out of business because of The Beach Boys\' song, \""Surfin.\'\""",REFUTES,1,1,1.0,1,0,1,0
,0.0,,0.0,,,,,,0.0,,,,,,,1,0,1,"Xylem is derived from the Greek word, meaning plant, while xylem cells are the elements that transport oxygen, requiring them to be alive.",REFUTES,0,1,1.0,1,0,1,0
,1.0,,,,,0.0,,,,,,,,,,0,1,1,"Unlike most action films, Transformers: Dark of the Moon, didn\'t have any on-set accidents during filming.",REFUTES,1,1,1.0,1,0,1,0
,0.0,,,,1.0,,0.0,,,0.0,,,,,,0,1,1,Xylem relies on pressure to feed a plant.,SUPPORTS,1,1,1.0,1,1,0,1
,0.0,,,,,,,,,,1.0,,,,,0,1,0,Richard Burton was rasied by his older sister starting around the age of two.,SUPPORTS,1,1,0.0,1,1,1,1
,,1.0,,,,,,,,,0.0,,,,,1,1,1,Victoria became a Queen at only 18 years old.,SUPPORTS,1,1,1.0,1,1,1,1
,,0.0,,,,,,,,,,,,,,0,0,1,Leonhard Euler was an agnostic.,REFUTES,1,1,1.0,1,0,1,0
,,0.0,,,,,,,,,,,1.0,1.0,,0,0,1,Anton Bruckner loved Operatic performances for their deep and involved stories.,REFUTES,0,0,1.0,1,0,1,0
,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0,1,1,Hector Berlioz\'s second wife was a lady he had an affair with while he was married to the first.,SUPPORTS,1,1,0.0,1,1,1,1
,,1.0,0.0,,,,,,,,,,,,,0,1,1,Battle of Gettysburg is referred to as the inflection point of the American Civil War.,SUPPORTS,0,1,1.0,1,1,1,1
,,0.0,,,,,,,,,,,,,,0,1,1,"Some brands advertise their brand by not putting a brand on their particular brand of product, thus relying on people\'s pre-existing knowledge of their brand to aid the advertising of their brand, rather than the brand\'s brand.",SUPPORTS,0,1,1.0,1,1,1,1
,,0.0,1.0,,,,,,,,1.0,,,,,0,1,1,"The Mahabharata advocates betting, and shows the practice as non-harmful.",REFUTES,0,1,0.0,0,0,1,0
,,1.0,,,,,,,,,,,,,,0,1,1,Timur  brutally occupied three countries and made preparations to battle China.,SUPPORTS,1,1,1.0,1,1,1,1
,,0.0,,,,,1.0,,0.0,,,,,,1.0,0,0,0,Jane Addams became the 1st American woman to receive the Nobel Peace Prize.,REFUTES,0,0,0.0,0,0,0,0
,,0.0,,,,1.0,,,,,,,,,,0,1,1,Vidura\'s parents are Vyasa and a maid and he is one of the smartest characters in the Mahabharata.,SUPPORTS,1,1,1.0,0,1,1,1
,,1.0,,,,,,1.0,,,,,,,1.0,0,0,1,"In 2014, the company wanted to buy Samsung for $10 billion.",REFUTES,1,1,1.0,1,0,1,0
,,1.0,,,,,1.0,,,,,,,1.0,,0,1,0,"Charles Evans Hughes shuffled off this mortal coil in Massachusetts, and then was taken to New York to be submerged in soil.",SUPPORTS,0,1,1.0,1,1,1,1
,,0.0,,,0.0,,,,,,,,,,,0,1,0,Nikita was a great critic of Stalin.,REFUTES,1,0,1.0,1,0,0,0
,,1.0,,,,,,,,,,,,,1.0,0,1,0,"Tom Cruise is an avid science denier, and should not be allowed to speak.",SUPPORTS,0,0,0.0,0,1,0,1
,,1.0,,,,,,,,,,,,,,0,1,0,"German composer Richard Strauss transformed from conservative to an advanced modern style, and his scores represent a major evolution for the movie music industry.",SUPPORTS,1,1,1.0,1,1,0,1
,,0.0,,,,,,,,1.0,,,,,,0,1,1,On the Road was released in 1955.,REFUTES,0,1,1.0,1,0,0,0
,,0.0,,,,,,,0.0,,,,,,,0,1,0,Ariana Grande owns a drink company.,SUPPORTS,0,0,1.0,1,1,1,1
,,0.0,,,,,,,,,,,,,,1,1,1,Sun Ra was an American jazz composer who believed he was from outer space to preach to the Earthlings.,SUPPORTS,1,0,0.0,1,1,1,1
,,,1.0,1.0,,,,,,,,,,,,0,0,1,Pierce passed away due to liver complications.,SUPPORTS,1,1,0.0,1,1,0,1
,,,1.0,,,,,,,,,,1.0,,,1,0,1,The Hurt Locker was directed by a female and won Best picture.,SUPPORTS,0,1,0.0,0,1,1,1
,,,0.0,,,,,0.0,,,0.0,,,1.0,,0,1,0,Joseph McCarthy falsified his military record during his Senate race against La Follette.,SUPPORTS,0,1,1.0,1,1,1,1
,,,0.0,,0.0,,,,0.0,,,,,,,1,1,1,The Brooklyn Bridge\'s title was changed in 1916 to avoid confusion with another bridge with a similar name.,REFUTES,0,0,1.0,1,0,0,0
,,,1.0,,,,,,,,,,,,,0,1,0,The city is very popular for tourists for many reasons ranging from festivals to the thriving nightclub scene.,SUPPORTS,0,1,1.0,1,1,0,1
,,,0.0,,,,,,0.0,,,,,,,0,0,1,Eastwood grew up a devout Catholic because of his mother.,REFUTES,0,0,1.0,1,0,0,0
,,,0.0,,,,,,,,,,,,,0,0,1,"The band chose their name R.E.M., which stands for rapid eye movement, by picking a term at random from a child\'s book.",REFUTES,1,0,0.0,0,0,0,0
,,,1.0,,,,,,,,,,,,1.0,0,0,1,Bush offered assistance to Panama in the 80s to overthrow the government.,SUPPORTS,1,1,1.0,1,1,1,1
,,,1.0,,,,,,,,,,,1.0,,0,0,1,Pope Julius II is often shown in art pieces with a beard even though he only wore it for a year of his time as pope and was the first pope to grow one since long ago.,SUPPORTS,1,1,0.0,1,1,1,1
,,,1.0,,,,,,,0.0,,,,,,0,0,1,Satchel Paige didn\'t learn his true age until he was in his 50s.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,1.0,,0.0,,,,,,,,1.0,,0,1,1,A neutrino is a fermion that interacts only via the weak subatomic force and gravity and gets its name from the electron and its rest mass is so large..,REFUTES,1,0,1.0,1,0,1,0
,,,,0.0,,,,,,0.0,,,,,,1,0,1,"The poem \""Elegy Written in a Country Churchyard\"" is a poem that sets the standard to use England as a background for poetry.",REFUTES,1,0,1.0,1,0,0,0
,,,,1.0,,0.0,,,,,,,,,,0,1,1,"The Battle of Gettysburg was a full scale three day crucial battle at Little Round Top, an important hill at the extreme left of the Union line, the Wheatfield, Devil\'s Den, the Peach Orchard, Culp\'s Hill, and Cemetery Hill with the highest number of deaths of the entire war.",SUPPORTS,1,1,0.0,1,1,0,1
,,,,0.0,,,,0.0,,,0.0,0.0,,,,1,1,1,Dunes that often do not have a slipface because of wind patterns are called dome dunes and are one of the 5 types of dunes.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,1.0,,,,,,,,,,,,0,0,0,The only verified original sled prop from Citizen Kane was sold at a price of over a hundred thousand dollars.,REFUTES,0,0,0.0,0,0,0,0
,,,,0.0,,,,,,,,,,,,0,1,0,Richard Nixon was an athlete growing up.,REFUTES,0,0,0.0,1,0,0,0
,,,,0.0,,,,,,,,,,,,1,0,0,Berlioz was a physician and composer who had biographies written about his life before and after his death in France.,SUPPORTS,0,1,1.0,1,1,0,1
,,,,1.0,,,,,,,,,,,,0,0,0,Norma Shearer was dubbed 5 times and grew up in Canada.,SUPPORTS,1,1,0.0,0,1,0,1
,,,,1.0,,,,,,,1.0,,,,,1,0,0,"King Charles II had so many children by so many different women, one of his nicknames compared him to a rabbit and its breeding habits.",REFUTES,0,0,0.0,0,0,0,0
,,,,1.0,1.0,,,,,,,,,,,0,0,0,The group did not make any public appearances between Stig\'s 1986 birthday and the Sweedish premiere of Mamma Mia.,SUPPORTS,0,0,1.0,0,1,1,1
,,,,0.0,,,,,,,,,,,,0,0,0,Queen Victoria was heralded throughout the island North of England for starving the Irish.,SUPPORTS,0,0,0.0,0,1,0,1
,,,,0.0,,,,,,,,,,,1.0,1,1,0,"Alexander II of Russia was a warmonger who led a lot of internal reforms including abolishing serfs, instating a new legal system and universal conscription.",REFUTES,0,0,0.0,0,0,1,0
,,,,0.0,1.0,,,,,,,,,,,0,1,1,"During the Punic Wars, 50k Carthaginian citizens were enslaved.",SUPPORTS,1,1,0.0,1,1,0,1
,,,,0.0,,,,,,,,,1.0,,,0,1,1,"Clint Eastwood, born during the beginning of the Great Depression and the fall of Wall Street, held a variety of jobs before he began his successful acting career.",SUPPORTS,1,1,1.0,1,1,1,1
,,,,1.0,,,,,,,0.0,,,,,0,1,1,Onegin was only translated into English because Pushkin thought if readers did not know Russian they knew English.,REFUTES,1,1,0.0,1,0,1,0
,,,,1.0,,,,,,,0.0,,1.0,,,0,0,1,"During the Peasants\' Revolt, the rebels from Kent let the King\'s mom pass them by without hurting her.",SUPPORTS,1,1,0.0,0,1,1,1
,,,,,0.0,,,,,0.0,,,,,,0,1,1,Stephen Hawking grew up wealthy.,REFUTES,1,1,1.0,1,0,1,0
,,,,,0.0,,,,,,,,,,,1,0,1,"The storming of the Bastille resulted in over 80 dead revolutionaries, but all 7 prisoners were freed.",SUPPORTS,1,0,0.0,1,1,0,1
,,,,,1.0,1.0,,,,,,,,,,0,1,1,Babe Ruth would speak German at home in his youth.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,,1.0,,1.0,1.0,,,,,,,,0,1,1,The Slipknot logo has nothing to do with devil worship.,SUPPORTS,1,0,1.0,1,1,1,1
,,,,,0.0,,,,,,,,,,,0,0,1,Bon Jovi\'s 11th album was a return to their rockin\' roots.,SUPPORTS,0,1,0.0,1,1,1,1
,,,,,1.0,0.0,,,,,,,,,,0,1,1,Mary Shelley came upon the idea for this story after her family decided to write ghost stories to pass the time.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,,0.0,,,,,,,,,,1.0,0,1,1,The play has been adapted to many different formats.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,,0.0,,,,,,,,,,,0,1,1,"In the 1960s, the internal organizations of South America worked to change the Apartheid law that was established in the constitution.",REFUTES,1,1,1.0,1,0,1,0
,,,,,0.0,1.0,,,,,,,,,,0,0,0,Paraguay has the warmest weather in January and is a tropical place.,SUPPORTS,0,0,0.0,0,1,0,1
,,,,,0.0,1.0,,,,,,,,,,0,0,1,Collins is famous for his work with Disney.,SUPPORTS,0,1,0.0,1,1,1,1
,,,,,1.0,,,,0.0,,,,,0.0,,0,0,1,William H. Seward always hated the man that was made chief executive instead of him.,REFUTES,1,0,0.0,0,0,0,0
,,,,,1.0,,,,,,0.0,,0.0,,,0,1,1,The Berlin Wall helped communities to stay together.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,0.0,,1.0,,,,,,,,0,1,1,Georges Clemenceau ran a newspaper during WWI.,SUPPORTS,1,1,0.0,1,1,1,1
,,,,,,1.0,,,,,,,,1.0,,0,1,1,Eminem has never made government spooks nervous about alleged intentions to harm the chief executive of America.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,1.0,,,,,,,,,,0,1,1,Edward Elgar was an Irishman that grew up in Dublin to become a composer for the Queen.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,1.0,,,,,,,,,,0,0,1,The original title of the film was going to be Avengers: Crisis on Infinite Earths.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,0.0,,,,,,,,,,0,1,1,Berlioz did not compose the Requiem.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,0.0,,,,,,,,,,0,0,0,Within Alcatraz was a music room where inmates could be rewarded for positive behaviors with playing time.,REFUTES,0,0,0.0,1,0,0,0
,,,,,,1.0,,1.0,,,1.0,,,,,0,1,1,Crane was a soldier in the first World War and that is how he had the experiences to write about what it\'s like on the battlefield.,REFUTES,1,0,1.0,1,0,1,0
,,,,,,1.0,,,,,0.0,,,,,1,0,1,Britten was a clerk before he began composing music.,REFUTES,0,0,0.0,1,0,0,0
,,,,,,1.0,,,,,,,,,,1,1,0,Dwayne Johnson played the bad guy in wrestling after he banged up his knee.,SUPPORTS,0,1,0.0,1,1,1,1
,,,,,,1.0,1.0,,,,,1.0,,,,0,0,0,Samsung\'s first cell phone was a hit in South Korea.,REFUTES,0,0,0.0,0,0,0,0
,,,,,,,1.0,,1.0,,,1.0,,,,0,0,1,Michael Jackson first did the moonwalk technique to Billie Jean which made him very popular globally.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,,,,1.0,,,,1.0,,,,,1,1,1,The Beatles were always called The Beatles.,REFUTES,0,0,1.0,1,0,1,0
,,,,,,,0.0,,1.0,,,,,,,0,1,1,Horace Greeley lived in the town of Pennsylvania for more than a decade.,REFUTES,1,0,1.0,1,0,1,0
,,,,,,,1.0,,,,,0.0,,,,0,0,1,Attila conquered Constantinople.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,1.0,,,,,,,,1.0,0,1,1,Olivia Newton-John\'s boyfriend\'s body wasn\'t ever found after he went missing from a boat.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,,,,1.0,,,,,,,,,0,1,0,Constantine the Great thought the he was going to parish but died earlier than he anticipated.,SUPPORTS,0,0,0.0,1,1,1,1
,,,,,,,1.0,,,,,,,1.0,,0,1,1,"The Lord of the Rings: The Return of the King is a 2003 epic fantasy adventure film that had some practical effects, and the easiest of the trilogy to produce while viewers and critics alike agree that it is one of the rare and spectacular endings in cinema.",SUPPORTS,0,1,1.0,1,1,1,1
,,,,,,,1.0,,,,,1.0,,,,0,1,1,The Bee Gees went on tour eleven times.,REFUTES,0,0,1.0,1,0,1,0
,,,,,,,1.0,1.0,,,,,,,,0,0,0,Polymers are made up of small molecules that allow them to be highly elastic.,REFUTES,0,0,1.0,1,0,1,0
,,,,,,,1.0,,,,,,,,0.0,0,0,1,Bizet often had esophagus issues and passed away due to heart complications.,SUPPORTS,1,1,0.0,0,1,1,1
,,,,,,,0.0,,,,,,,,,1,1,1,"Faust is an old German folktale, in which a man trades his soul for knowledge and magic.",SUPPORTS,1,1,1.0,1,1,1,1
,,,,,,,,1.0,,,,,,,,0,1,1,The poem with its subversive nonsensical language allows the user to come to their own conclusions on the appearance of the creature.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,,,,,1.0,,,0.0,,,,,0,0,1,Michael Jackson passed away from an overdose and was not called the King of R & B.,SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,1.0,,,,,,,,0,0,0,This is the favorite Shakespearean play of the Deutsche National Socialist party.,SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,1.0,,,,,1.0,,,1,1,1,The Brooklyn Bridge is part of DUMBO (Down Under the Manhattan Bridge Overpass)and connects Williamsburg to Brooklyn.,REFUTES,0,1,1.0,1,0,1,0
,,,,,,,,1.0,,,,,,,,1,1,1,"Calcium is an acidic metal and means \""expose\"" in Latin.",REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,1.0,,,,,0.0,,,1,1,1,Technology is the number industry in Vancouver.,REFUTES,1,0,1.0,0,0,0,0
,,,,,,,,0.0,,1.0,,,,,,1,1,1,Les Misérables has had many adaptions like a 1995 and 1998 film.,SUPPORTS,1,1,1.0,0,1,0,1
,,,,,,,,0.0,,1.0,,,,,,1,1,1,Alexander\'s many victories against Napoleon galvanized his previous resolve to conquer Europe.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,0.0,,,,,0.0,,,0,1,0,"England used a particular flower as a signal for pacifism while fighting a massive war named after it, in which both sides fought under banners utilizing that same flower to rally supporters.",SUPPORTS,0,1,1.0,1,1,1,1
,,,,,,,,1.0,,,,,,,,0,1,1,"The first version of the book was named \""Go\"", after the Japanese game.",REFUTES,0,1,0.0,0,0,0,0
,,,,,,,,,1.0,1.0,,1.0,,,,1,1,1,"After the new building was built in 1827, much of the British Museum\'s library book collection was a gift from a supporter\'s estate.",SUPPORTS,1,1,1.0,1,1,1,1
,,,,,,,,,1.0,,,,,,,0,1,1,The Battle of Salamis was an inflection point for the Greco-Persian wars because both sides were evenly matched.,REFUTES,1,1,0.0,0,0,1,0
,,,,,,,,,1.0,1.0,,,,0.0,,0,1,0,Alyson Hannigan\'s character gets married in the second season.,SUPPORTS,1,1,0.0,0,1,0,1
,,,,,,,,,0.0,,,,0.0,,,0,1,1,Cap Anson bounced around from team to team for the majority of his twenty seven season career.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,1.0,0.0,,,,,,1,0,1,The Christmas Carol novel was first released in London in 1844.,REFUTES,0,1,0.0,0,0,0,0
,,,,,,,,,0.0,,,,,,,0,1,1,"Horace Greeley decided to find fame and fortune as an actor in New York City, where he met his wife, Mary, and moved to Vermont after the honeymoon to North Carolina. .",REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,0.0,,,,,,,0,1,1,Robert Schumann\'s life was extinguished by complications of cancer.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,1.0,,,1.0,,1.0,,0,0,1,The composer Richard Strauss was a German Romantic is known for his two symphonies and his operas.,SUPPORTS,1,1,1.0,1,1,0,1
,,,,,,,,,,1.0,,,,,,0,1,0,"As a you adult, Jackie Robinson at one point was a gang member because he was not able to participate in sports or other activities in his community.",SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,,,1.0,,,,,,0,0,1,"Romeo and Juliet, a play by William Shakespeare, is the most filmed play and male leads have included Leonardo DiCaprio and Orlando Bloom.",SUPPORTS,1,1,1.0,1,1,0,1
,,,,,,,,,,1.0,,,,,,0,0,0,"In Their Eyes Were Watching God, the main character Janie is forced to deal with one of her husbands like Old Yeller.",SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,,,1.0,,,,,,0,0,0,Dion confessed she loved school growing up and had many friends.,REFUTES,0,0,1.0,1,0,1,0
,,,,,,,,,,0.0,,,,,,0,1,1,The Black Hawk War ended badly for the Native Americans and ended with them forced to sell their lands.,SUPPORTS,1,1,1.0,0,1,1,1
,,,,,,,,,,0.0,,,,,,0,1,1,This is a sci-fi novel writen by kurzgesagt.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,,1.0,,,,,,1,1,1,West Side Story went 11 for 11 at the Academy Awards.,REFUTES,0,0,1.0,1,0,0,0
,,,,,,,,,,1.0,,,,,,0,0,0,David Lloyd George was rightly renowned for his good judgement.,REFUTES,0,0,1.0,1,0,1,0
,,,,,,,,,,1.0,,,,,,0,0,1,Trotsky passed due to complications from an assault with an ice axe.,SUPPORTS,1,1,1.0,0,1,1,1
,,,,,,,,,,,1.0,1.0,0.0,,,1,1,0,Mississippi Burning was filmed in Georgia.,REFUTES,1,1,1.0,1,0,0,0
,,,,,,,,,,,1.0,,,,1.0,0,1,1,Louis was born and raised in Kentucky but moved to Boston eventually.,SUPPORTS,0,1,0.0,0,1,0,1
,,,,,,,,,,,1.0,,,,,0,0,0,The Black Hawk War\'s leaders did manage to run away.,SUPPORTS,1,0,0.0,0,1,1,1
,,,,,,,,,,,0.0,,,,,0,0,1,The city of Shiraz was the former capital of Iran but is now has the 6th largest population in the country.,SUPPORTS,1,1,0.0,0,1,1,1
,,,,,,,,,,,1.0,,,,,0,0,0,"Emperor Caligula mercilessly taxed the Roman public to fund his propensity for hosting games, menageries, and festivals in his city during his short reign, which attributed to his violent end.",REFUTES,0,0,0.0,0,0,0,0
,,,,,,,,,,,,0.0,,,,1,1,0,The Brooklyn Bridge planning began as early as 1800 to avoid having to use ferry lines.,SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,,,,,1.0,,,,1,0,1,Ozone was discovered because of its peculiar smell.,SUPPORTS,0,1,1.0,1,1,1,1
,,,,,,,,,,,,0.0,,,,0,0,0,Newman had five daughters.,SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,,,,,0.0,,,,1,1,1,The Vietnam War was a relatively peaceful battle.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,,,,0.0,,,,0,0,1,Only one spacecraft has visited the planet and Neptune has more than 13 moons.,SUPPORTS,1,1,0.0,1,1,0,1
,,,,,,,,,,,,0.0,,,,0,1,0,Bizet traveled around Europe going to many countries to learn about their musical culture to eventually become a famous composer himself.,SUPPORTS,1,1,0.0,0,1,0,1
,,,,,,,,,,,,0.0,0.0,,,0,0,0,The viscosity of a fluid is a measure of its resistance approaching the concept of the mass layers of fluid proportional to motion.,REFUTES,0,0,0.0,1,0,1,0
,,,,,,,,,,,,1.0,,,,1,1,1,Victoria started her reign less than one month after her 18th birthday.,SUPPORTS,1,1,0.0,0,1,1,1
,,,,,,,,,,,,0.0,1.0,,,0,0,1,"Born in the Port of Spain, Nicki Minaj was given attention early in her career once she released Beam Me Up Scotty.",SUPPORTS,1,1,1.0,1,1,1,1
,,,,,,,,,,,,,1.0,,,0,1,1,Ernie Banks was the first black baseball player for the New York Yankees.,REFUTES,0,1,1.0,1,0,1,0
,,,,,,,,,,,,,0.0,0.0,,0,0,1,"In the poem Beowulf, Grendel\'s mother is killed during a battle in the clan hall.",REFUTES,0,0,1.0,0,0,1,0
,,,,,,,,,,,,,1.0,,,0,1,1,Wycliffe was on good terms with the Catholic Church throughout his life.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,,,,,1.0,,,0,1,0,"The left clock shows Rome time, the one on the right shows European time.",SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,,,,,,1.0,,,0,0,1,"For all its gore and accusations of antisemitism, The Merchant of Venice has never been made into musical theater.",REFUTES,1,1,0.0,1,0,0,0
,,,,,,,,,,,,,0.0,,,0,1,1,"Samuel Barber was born in Cleveland, Ohio and became a great trombone player.",REFUTES,1,1,1.0,1,0,1,0
