Question,Answer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,LLAMA,GPT4,DPR,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
What is the fastest air-breathing manned aircraft mostly made out of?,Titanium,,,,1.0,,,,,0.0,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,1.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,0.0,,,,0.0,1.0,,,,,,,,,,,,1.0,,0.0,,,,,0.0,,,,,,,,,1.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,1.0,,,,,0.0,,,1.0,,,,0.0,,,,,,,,0.0,0.0,1.0,0.0,What is the fastest air-breathing manned aircraft mostly made out of?,Titanium,0,1,0,0.0,0.0,1,1
Who built the fastest air-breathing manned aircraft?,Lockheed Corporation,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,1.0,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,Who built the fastest air-breathing manned aircraft?,Lockheed Corporation,0,0,0,0.0,0.0,1,1
When was the author of The Population Bomb born?,"May 29, 1932",,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,1.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,1.0,0.0,When was the author of The Population Bomb born?,"May 29, 1932",0,0,0,0.0,0.0,0,1
When did the author of Annabel Lee enlist in the army?,1827,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,1.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,1.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,1.0,0.0,When did the author of Annabel Lee enlist in the army?,1827,0,0,0,0.0,0.0,0,1
What was the religion of the inventor of the Polio vaccine?,Jewish,,1.0,,,,,0.0,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,1.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,1.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,1.0,,,,,,1.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,What was the religion of the inventor of the Polio vaccine?,Jewish,0,1,1,0.0,0.0,1,1
Who was the second wife of the founder of CNN?,Jane Shirley Smith,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,1.0,,,,,,0.0,,1.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,Who was the second wife of the founder of CNN?,Jane Shirley Smith,0,0,0,0.0,0.0,0,0
When did the first prime minister of the Russian Empire come into office?,"November 6, 1905",,,,,,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,1.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,0.0,1.0,0.0,When did the first prime minister of the Russian Empire come into office?,"November 6, 1905",0,0,0,0.0,0.0,0,1
What is the primary male hormone derived from?,cholesterol,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,What is the primary male hormone derived from?,cholesterol,0,1,0,1.0,0.0,0,1
The Filipino statesman who established the government-in-exile during the outbreak of World War II was also the mayor of what city?,Quezon City,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,1.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,1.0,,1.0,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,The Filipino statesman who established the government-in-exile during the outbreak of World War II was also the mayor of what city?,Quezon City,0,0,0,0.0,0.0,0,1
Where was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?,"Oranienburg, Germany",,,,,,,1.0,,,,,,,0.0,,,,,,0.0,,1.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,0.0,1.0,1.0,,,,,,,0.0,,,,,,,0.0,,,,1.0,,,,0.0,,,,1.0,,,,,,,,,,0.0,,,,1.0,,,,,,,1.0,,,,,,,,,0.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,0.0,,1.0,,,,,,0.0,,0.0,,,,0.0,1.0,1.0,0.0,Where was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?,"Oranienburg, Germany",0,1,0,0.0,0.0,0,1
When was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?,"January 8, 1891",,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,1.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,When was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?,"January 8, 1891",0,1,0,0.0,0.0,0,1
What was the founding date of the university in which Plotonium was discovered?,"March 23, 1868",,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,What was the founding date of the university in which Plotonium was discovered?,"March 23, 1868",0,1,0,0.0,0.0,0,0
The material out of which the Great Sphinx of Giza is made of is mainly composed of what mineral?,calcite,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,0.0,The material out of which the Great Sphinx of Giza is made of is mainly composed of what mineral?,calcite,0,0,0,0.0,0.0,0,0
The husband of Lady Godiva was Earl of which Anglic kingdom?,Mercia,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,1.0,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,0.0,,,,,,0.0,1.0,0.0,The husband of Lady Godiva was Earl of which Anglic kingdom?,Mercia,0,1,1,1.0,0.0,1,1
The machine used to extract honey from honeycombs uses which physical force?,Centrifugal Force,,,,,,0.0,,,,,,1.0,,,,1.0,0.0,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,1.0,,,,0.0,,0.0,,,,,,,0.0,,1.0,,,,,1.0,1.0,0.0,The machine used to extract honey from honeycombs uses which physical force?,Centrifugal Force,1,1,0,0.0,1.0,1,1
What is the third letter of the top level domain of the military?,l,,,,,,,,1.0,,,,,,0.0,,0.0,,,,,1.0,,,,1.0,,,1.0,,,,,0.0,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,1.0,,,,,,,,,,0.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,0.0,,,0.0,,,,,,,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,1.0,0.0,What is the third letter of the top level domain of the military?,l,1,0,0,0.0,0.0,0,0
In what year was the government department where the internet originated at founded?,1947,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,,1.0,,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,0.0,,1.0,0.0,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,In what year was the government department where the internet originated at founded?,1947,0,0,0,0.0,0.0,0,0
The main actor of Indiana Jones is a licensed what?,pilot,,,,,,1.0,0.0,,,,1.0,,,1.0,,,,,,,,,,0.0,,1.0,1.0,,,0.0,,,,,,0.0,,0.0,,,,,1.0,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,1.0,,,,1.0,,,,,0.0,0.0,,,,,,1.0,,1.0,,,,,,,,,1.0,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,0.0,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,The main actor of Indiana Jones is a licensed what?,pilot,0,1,0,0.0,0.0,1,0
When was the person after which the Hubble Space Telescope is named after born?,"November 20, 1889",,,,,,1.0,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,1.0,0.0,When was the person after which the Hubble Space Telescope is named after born?,"November 20, 1889",0,0,0,0.0,0.0,0,1
When did the person who gave the Checkers speech die?,"April 22, 1994",,1.0,,,,,0.0,,1.0,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,1.0,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,1.0,0.0,When did the person who gave the Checkers speech die?,"April 22, 1994",0,0,0,0.0,0.0,0,1
When was the philosopher that formulated the hard problem of consciousness born?,"April 20, 1966",,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,When was the philosopher that formulated the hard problem of consciousness born?,"April 20, 1966",0,0,0,0.0,0.0,0,1
What is the capital of the second largest state in the US by area?,Austin,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,1.0,,1.0,,,,,1.0,0.0,,,1.0,,,1.0,,1.0,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,0.0,1.0,0.0,What is the capital of the second largest state in the US by area?,Austin,1,1,0,0.0,0.0,0,0
What is the maximum airspeed (in km/h) of the third fastest bird?,320 km/h,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,What is the maximum airspeed (in km/h) of the third fastest bird?,320 km/h,0,0,0,0.0,0.0,0,0
Who founded the city where the founder of geometry lived?,Alexander the Great,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,1.0,,,,,,1.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,1.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,Who founded the city where the founder of geometry lived?,Alexander the Great,0,0,0,0.0,1.0,1,0
What is the capital of the country where yoga originated?,New Delhi,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,0.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,0.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,0.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,0.0,1.0,0.0,What is the capital of the country where yoga originated?,New Delhi,1,1,0,0.0,1.0,1,1
