question,a,b,c,A,B,C,D,E,DPR,LLAMA,GPT4,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3
"In which novel, written by an author who was originally a botanist and born in Cuba, features a fictitious conversation between a merchant who travelled a road that was known by a smooth natural material and an emperor who loved to write Chinese poetry, both of which are actual people in history?",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"In which novel, written by an author who was originally a botanist and born in Cuba, features a fictitious conversation between a merchant who travelled a road that was known by a smooth natural material and an emperor who loved to write Chinese poetry, both of which are actual people in history?",Invisible Cities,0,0.0,0.0,0.0
"Which American alternative pop singer, who rose to popularity in 2012 after appearing on The Voice, shares her name with a song written by Toto in 1999?",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Which American alternative pop singer, who rose to popularity in 2012 after appearing on The Voice, shares her name with a song written by Toto in 1999?",Melanie Martinez,0,0.0,0.0,0.0
Who was the woman soccer player known to have the third most international goals scored on the United States national team as of 2017?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Who was the woman soccer player known to have the third most international goals scored on the United States national team as of 2017?,Mia Hamm,0,0.0,0.0,0.0
What is the name of the first mosque in the world that was built by Prophet Muhammed (s.a.w) during his hijrah from Mecca to Medina?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What is the name of the first mosque in the world that was built by Prophet Muhammed (s,Quba Masjid,0,1.0,0.0,0.0
"What song refers to this popular singer's breakup with her ex-partner, who called her 23 times and then proceeded to marry a model two months after they broke up?",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"What song refers to this popular singer's breakup with her ex-partner, who called her 23 times and then proceeded to marry a model two months after they broke up?",Ring,0,0.0,0.0,0.0
A large portion of the sequence for the reference genome for the International Human Genome Sequencing Consortium in the human genome project came from a man from which US city?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A large portion of the sequence for the reference genome for the International Human Genome Sequencing Consortium in the human genome project came from a man from which US city?,"Buffalo, New York",0,1.0,0.0,0.0
What U.S. criminal and world champion of his sport violated a United Nations sanction in 1992 and proceeded to live in Asia and Europe?,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,What U,Bobby Fischer or Robert James Fischer,0,0.0,0.0,0.0
Who raised a bird in the Shawshank Redemption,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Who raised a bird in the Shawshank Redemption,Brooks Hatlen,0,1.0,0.0,0.0
What is awarded to the opposing team after a player scores in their own goal during a kickoff in soccer?,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What is awarded to the opposing team after a player scores in their own goal during a kickoff in soccer?,Corner Kick,0,0.0,0.0,1.0
What cardinal direction on a compass can not be found in the name of a US state?,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,What cardinal direction on a compass can not be found in the name of a US state?,East,0,0.0,0.0,0.0
This country is the first country to develop the voicemail technology and is home to the largest known dog cemetery of the ancient world.,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This country is the first country to develop the voicemail technology and is home to the largest known dog cemetery of the ancient world,Israel,0,1.0,0.0,0.0
Name the country whose capital is named after the American president who introduced his namesake doctrine regarding the independence of Latin America.,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Name the country whose capital is named after the American president who introduced his namesake doctrine regarding the independence of Latin America,Liberia,0,0.0,0.0,0.0
"For 10 points, name the title character of the 2022 Best Picture nominee about a fictional conductor who was mentored by Leonard Bernstein.",0.0,1.0,0.0,,,,,,0.0,0.0,0.0,"For 10 points, name the title character of the 2022 Best Picture nominee about a fictional conductor who was mentored by Leonard Bernstein",Lydia Tar,0,0.0,0.0,0.0
This city was once named after a man born Ioseb Besarionis dze Jughashvili,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,This city was once named after a man born Ioseb Besarionis dze Jughashvili,Volgograd,0,0.0,0.0,0.0
This company was co-founded in 1977 by the man who in May 2016 donated 200 million to the University of Southern California for establishing a cancer research center,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,This company was co-founded in 1977 by the man who in May 2016 donated 200 million to the University of Southern California for establishing a cancer research center,Oracle Corporation,0,1.0,0.0,0.0
"This is the most common medication used to treat the disease that killed Vasco da Game, Pope Urban VII, and Oliver Cromwell",0.0,0.0,1.0,,,,,,0.0,0.0,0.0,"This is the most common medication used to treat the disease that killed Vasco da Game, Pope Urban VII, and Oliver Cromwell",Quinine,1,1.0,0.0,0.0
"This player's famous nickname came about when he threw with such velocity that a nearly fence looked as if it had been hit by a large air mass that rotates around a strong center of low atmospheric pressure, counterclockwise in the Northern Hemisphere",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"This player's famous nickname came about when he threw with such velocity that a nearly fence looked as if it had been hit by a large air mass that rotates around a strong center of low atmospheric pressure, counterclockwise in the Northern Hemisphere",Cy Young,0,0.0,0.0,0.0
"This man is credited with coining the terms Cubism, Orphism, and Surrealism",0.0,0.0,0.0,,,,,,1.0,0.0,1.0,"This man is credited with coining the terms Cubism, Orphism, and Surrealism",Guillaume Apollinaire,0,1.0,0.0,1.0
This character has a version of Andy's Warhol's Shot Marilyn's hanging in his bedroom. This version features horseshoes.,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,This character has a version of Andy's Warhol's Shot Marilyn's hanging in his bedroom,BoJack Horseman,0,0.0,0.0,0.0
"This university, founded by a railroad tycoon in 1885, has a tree as its unofficial mascot",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"This university, founded by a railroad tycoon in 1885, has a tree as its unofficial mascot",Stanford University,1,1.0,0.0,0.0
"This athlete returned to his primary sport after playing baseball with a two word press release that read ""I'm back""",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"This athlete returned to his primary sport after playing baseball with a two word press release that read ""I'm back""",Michael Jordan,0,1.0,0.0,1.0
"This country's name means ""equator"" in Spanish",0.0,0.0,1.0,,,,,,0.0,1.0,1.0,"This country's name means ""equator"" in Spanish",Ecuador,1,1.0,1.0,1.0
"According to a famous holiday song by Adam Sandler, OJ Simpson is not a believer in this world religion",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"According to a famous holiday song by Adam Sandler, OJ Simpson is not a believer in this world religion",Judaism,1,1.0,0.0,0.0
This actor is known for hitting another famous person after the other person made a joke about his wife's lack of hair at the Oscars in 2022,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,This actor is known for hitting another famous person after the other person made a joke about his wife's lack of hair at the Oscars in 2022,Will Smith,0,1.0,0.0,1.0
"A person with this title used the topayauri (scepter), ushno (golden throne), and suntur páucar (feathered pike).",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"A person with this title used the topayauri (scepter), ushno (golden throne), and suntur páucar (feathered pike)",Sapa Inca,0,0.0,0.0,0.0
"Who wrote a novel featuring Mugo, an introverted villager of Thabai",0.0,0.0,0.0,,,,,,0.0,1.0,1.0,"Who wrote a novel featuring Mugo, an introverted villager of Thabai","[""Ngũgĩ wa Thiong'o""]",0,1.0,0.0,1.0
"This city is the birthplace of a candidate whose opponent called him ""Sleepy Joe""",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"This city is the birthplace of a candidate whose opponent called him ""Sleepy Joe""","Scranton, Pennsylvania",0,0.0,0.0,1.0
"Several of this author's curious books have onomatopoeia in the title. Perhaps if the onomatopoeia were in the author's name instead of the title, you'd find the word ""Scuttle"" or ""Hiss"" on the cover instead. What is the author's name?",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,Several of this author's curious books have onomatopoeia in the title,Mary Roach,0,0.0,0.0,0.0
"Chemists know that these organic compounds feature four rings with a variety of bonds. Baseball fans associate this class of organic compounds with Barry Bonds, who has no rings.",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,Chemists know that these organic compounds feature four rings with a variety of bonds,Steroid,0,0.0,0.0,1.0
"The seven actors in this film have 6 Oscars, 6 Tonys, and 13 Golden Globes between them; nobody could claim that ""the leads are weak"". Despite all of that star power and a Pulitzer-winning script, though, the film adaptation couldn't close the deal, and won only a minor award at Venice.",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"The seven actors in this film have 6 Oscars, 6 Tonys, and 13 Golden Globes between them; nobody could claim that ""the leads are weak""",Glengarry Glen Ross,0,0.0,0.0,0.0
"Over 100 years before ""random forest"" was trademarked, and long before the invention of the transistor or digital computer, this bare-bones numerical approach was invented to help identify which variables in a high-dimensional data set are the most relevant. It is used in digital signal processing, mechanical engineering, predictive modeling, and data cleaning for machine learning.",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"Over 100 years before ""random forest"" was trademarked, and long before the invention of the transistor or digital computer, this bare-bones numerical approach was invented to help identify which variables in a high-dimensional data set are the most relevant",Principal component analysis,1,0.0,1.0,0.0
"This American group's now-iconic name was factually inaccurate when it was first applied to the group, in the early 1980s: not because any of the members were wild animals, but because the drummer at the time was a woman.",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"This American group's now-iconic name was factually inaccurate when it was first applied to the group, in the early 1980s: not because any of the members were wild animals, but because the drummer at the time was a woman",Beastie Boys,0,0.0,0.0,0.0
"This NFL team did not have a starting quarterback in 1998, nor any players at the nose tackle or defensive end position, or in fact, any players or roster at all. Their fans once famously deployed a large three-piece banner in the end zone which read ""GPODAWUND"", because two sections of the sign had gotten swapped.",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"This NFL team did not have a starting quarterback in 1998, nor any players at the nose tackle or defensive end position, or in fact, any players or roster at all",Cleveland Browns,1,1.0,0.0,0.0
"This semi-mythical American trickster figure, merry prankster, and sledgehammer juggler was not much of an author or poet himself. Nonetheless he became the inspiration for characters in Ken Kesey and Jack Kerouac's books, and he shows up by name in songs by Tom Waits, the Grateful Dead, and Death Cab for Cutie.",0.0,0.0,1.0,,,,,,0.0,0.0,1.0,"This semi-mythical American trickster figure, merry prankster, and sledgehammer juggler was not much of an author or poet himself",Neal Cassady,0,0.0,0.0,0.0
"If a librarian were making a list of Wikipedia articles which are not self-referential, it's a good bet that an article about this puzzling discovery in set theory would not make the list. On the other hand, after some reflection, you might decide that it must go on the list. Or perhaps you'd then feel compelled to remove it.",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"If a librarian were making a list of Wikipedia articles which are not self-referential, it's a good bet that an article about this puzzling discovery in set theory would not make the list","[""Russell's paradox""]",0,1.0,0.0,0.0
"Some experts object to all versions of this grammatical construct, but others are more flexible. Hopefully, you'll be able to identify it from these examples. It should be easier than shooting an elephant in your pajamas.",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"Some experts object to all versions of this grammatical construct, but others are more flexible",Dangling modifier,0,0.0,0.0,0.0
"The 1973 Thomas Rockwell novel for children, about a school boy who loses a gross dare, was written in America. However, a similarly-titled religious edict published in 1521 hails from this old European city of about 80,000.",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"The 1973 Thomas Rockwell novel for children, about a school boy who loses a gross dare, was written in America","Worms, Germany",0,0.0,0.0,0.0
"Elementary students learn the spelling of this not-so-peaceful body of water with the mnemonic ""Pa, See if I see.""",0.0,0.0,0.0,,,,,,0.0,1.0,1.0,"Elementary students learn the spelling of this not-so-peaceful body of water with the mnemonic ""Pa, See if I see",Pacific Ocean,0,1.0,0.0,0.0
"This island once exported chunks of semi-precious silicate stone used as currency throughout the region almost 4,000 years ago. While its primary currency is much less ubiquitous today, its modern silicon exports are still semi-precious to all its trading partners.",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"This island once exported chunks of semi-precious silicate stone used as currency throughout the region almost 4,000 years ago",Taiwan,0,0.0,0.0,0.0
"If you found yourself on an island where two different one-peso coins circulated, and laid one of each of them side by side, they'd nearly be as large as the smallest bird you could find on that same island. Those two pesos are drastically different in value though, at a ratio of almost 25 to 1. Where is the island?",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"If you found yourself on an island where two different one-peso coins circulated, and laid one of each of them side by side, they'd nearly be as large as the smallest bird you could find on that same island",Cuba,0,0.0,0.0,0.0
"This famous Roman heavenly twin is technically the Alpha, but is outshone by his brother the Beta, possibly because the latter had Zeus for a father.",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"This famous Roman heavenly twin is technically the Alpha, but is outshone by his brother the Beta, possibly because the latter had Zeus for a father",Castor (star),1,1.0,1.0,0.0
"Despite its association with a wall begun in 122 by a Roman Emperor, a 1237 treaty fixed what geo-political concept to be a river that enters the Sea at Berwick?",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"Despite its association with a wall begun in 122 by a Roman Emperor, a 1237 treaty fixed what geo-political concept to be a river that enters the Sea at Berwick?",Scottish-English Border,0,0.0,0.0,0.0
"What short-lived government (in contrast, its successor lasted nearly 300 years with a brief interruption) has a name that literally means ""to follow"" and built a large waterway that connected two of its country's major bodies of water?",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"What short-lived government (in contrast, its successor lasted nearly 300 years with a brief interruption) has a name that literally means ""to follow"" and built a large waterway that connected two of its country's major bodies of water?",Sui Dynasty,0,0.0,0.0,0.0
Whose face is on the bill worth 400 nickels?,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,Whose face is on the bill worth 400 nickels?,Andrew Jackson,0,1.0,0.0,0.0
What astronomical object's pronunciation is controversial for potty-humor related reasons?,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,What astronomical object's pronunciation is controversial for potty-humor related reasons?,Uranus,1,1.0,0.0,0.0
What lake gives its name to an entity that also borders 4 lakes to its west?,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,What lake gives its name to an entity that also borders 4 lakes to its west?,Lake Ontario,0,0.0,0.0,0.0
Ian Smith's country's national anthem replaced a poem by what man with new lyrics?,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,Ian Smith's country's national anthem replaced a poem by what man with new lyrics?,Friedrich Schiller,0,0.0,0.0,0.0
What city's MLB team sounds like the name of a female horse?,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,What city's MLB team sounds like the name of a female horse?,Philadelphia,0,0.0,0.0,0.0
"Take away four from a group including Barnard and Smith, and you get what play?",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"Take away four from a group including Barnard and Smith, and you get what play?",Three Sisters (play),0,0.0,0.0,0.0
What place provides a rhyme for the title in the Rogers and Hart song Manhattan?,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,What place provides a rhyme for the title in the Rogers and Hart song Manhattan?,Staten Island,0,0.0,0.0,0.0
Christopher Paolini's first fantasy novel is a homophone of what Iberian region?,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,Christopher Paolini's first fantasy novel is a homophone of what Iberian region?,Aragon,0,0.0,0.0,0.0
A character named for what general often wears a campaign shirt for Pedro?,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,A character named for what general often wears a campaign shirt for Pedro?,Napoleon,0,1.0,0.0,0.0
The national capital closest to the South Pole is named for what man?,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,The national capital closest to the South Pole is named for what man?,"Arthur Wellesley, 1st Duke of Wellington",0,1.0,0.0,0.0
On The Colbert Report a host from what channel is nicknamed Papa Bear?,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,On The Colbert Report a host from what channel is nicknamed Papa Bear?,Fox News,1,1.0,0.0,0.0
Who was president when the original Star Wars came out?,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,Who was president when the original Star Wars came out?,Jimmy Carter,0,0.0,0.0,0.0
Ice Cube compared his crime record to what man whose machinations left Roman Polanski a widower?,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,Ice Cube compared his crime record to what man whose machinations left Roman Polanski a widower?,Charles Manson,1,1.0,0.0,1.0
Batman's first name was inspired by what important medieval figure?,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,Batman's first name was inspired by what important medieval figure?,Robert the Bruce,0,0.0,0.0,1.0
Which musician made fun of Ronald Reagan for misinterpreting the message of one of his songs as patriotic?,1.0,0.0,0.0,,,,,,0.0,1.0,1.0,Which musician made fun of Ronald Reagan for misinterpreting the message of one of his songs as patriotic?,Bruce Springsteen,1,1.0,0.0,0.0
The name of what African country is one letter different than the name of the capital of the Maldives?,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,The name of what African country is one letter different than the name of the capital of the Maldives?,Mali,1,0.0,0.0,0.0
A German admiral sailing for Russia named what islands for an English captain and not for the librettist of the HMS Pinafore nor for the announcer of Jeopardy!,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,A German admiral sailing for Russia named what islands for an English captain and not for the librettist of the HMS Pinafore nor for the announcer of Jeopardy!,Gilbert Islands,0,0.0,0.0,0.0
"What ceremonial phrase started with an impatient mayor in September 1950 and does not date back to the origins of an annual festival 200 years ago? Either the English translation, the standard foreign form, or the local southern foreign dialect is fine.",0.0,0.0,1.0,,,,,,0.0,0.0,0.0,"What ceremonial phrase started with an impatient mayor in September 1950 and does not date back to the origins of an annual festival 200 years ago? Either the English translation, the standard foreign form, or the local southern foreign dialect is fine","O zapft is, It's tapped, Es ist angezapft",0,0.0,0.0,0.0
"""None of them knew the color of the sky"" is the opening sentence of a story by what author, who shares his last name with a type of long-necked bird?",1.0,0.0,0.0,,,,,,0.0,0.0,0.0,"""None of them knew the color of the sky"" is the opening sentence of a story by what author, who shares his last name with a type of long-necked bird?",Stephen Crane,1,0.0,0.0,0.0
What 2022 movie is based on the adolescence of the director of Jurassic Park and Schindler's List?,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,What 2022 movie is based on the adolescence of the director of Jurassic Park and Schindler's List?,The Fabelmans,1,1.0,,1.0
What type of animal is the mascot of the university that was attended by running back Ron Dayne?,1.0,0.0,0.0,,,,,,0.0,1.0,1.0,What type of animal is the mascot of the university that was attended by running back Ron Dayne?,Badger,0,1.0,1.0,1.0
"What position is currently held by a former prime minister of Portugal, and has previously been held by a Swedish man who died in a 1961 plane crash?",0.0,0.0,1.0,,,,,,0.0,0.0,0.0,"What position is currently held by a former prime minister of Portugal, and has previously been held by a Swedish man who died in a 1961 plane crash?",Secretary-General of the United Nations,0,1.0,0.0,0.0
What Arabic number (e.g. 9 or 99) can be written as the sum of the Roman numerals CI and XVI?,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,What Arabic number (e,117 (number),1,0.0,0.0,0.0
"Which presidential election occurred 220 years after the one in which Thomas Jefferson defeated the incumbent, John Adams?",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"Which presidential election occurred 220 years after the one in which Thomas Jefferson defeated the incumbent, John Adams?",2020 United States presidential election,0,0.0,0.0,1.0
What war is named for a length of time equal to 84 months?,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,What war is named for a length of time equal to 84 months?,Seven Years' War,1,0.0,0.0,0.0
What type of bond in chemistry shares its name with a number that is sometimes approximated as 22/7?,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,What type of bond in chemistry shares its name with a number that is sometimes approximated as 22/7?,Pi bond,1,1.0,0.0,1.0
"What 19th century philosopher, whose first and middle name is reminiscent of the host of The Daily Show before Trevor Noah, has a last name that rhymes with bill?",1.0,0.0,0.0,,,,,,0.0,0.0,1.0,"What 19th century philosopher, whose first and middle name is reminiscent of the host of The Daily Show before Trevor Noah, has a last name that rhymes with bill?",John Stuart Mill,0,1.0,0.0,0.0
"What author wrote an 1881 novel whose four-word title is the same as the title of a T. S. Eliot poem, and a 1903 novel whose two-word title is the same as the title of a Hans Holbein painting?",0.0,0.0,1.0,,,,,,0.0,0.0,1.0,What author wrote an 1881 novel whose four-word title is the same as the title of a T,Henry James,0,0.0,0.0,0.0
"A university, a culinary dish, and an airport code are the notable remaining users of what older form a city's name that officially starts with a ""B""?",1.0,0.0,0.0,,,,,,0.0,0.0,0.0,"A university, a culinary dish, and an airport code are the notable remaining users of what older form a city's name that officially starts with a ""B""?",Peking,0,0.0,0.0,0.0
"Vincenzo from the drama of the same name, sits down with Hong Yu Chan to enjoy what libration whose name literally means ""to carelessly strain""",0.0,0.0,1.0,,,,,,0.0,0.0,1.0,"Vincenzo from the drama of the same name, sits down with Hong Yu Chan to enjoy what libration whose name literally means ""to carelessly strain""",makgeolli,0,0.0,0.0,0.0
"What country shares a language with its more populous northern neighbor but in its written form omits a letter that looks like a Greek beta, writing the sound instead by doubling another letter? That character appears in that language's words for foot, big, outside, and street.",0.0,1.0,0.0,,,,,,0.0,0.0,0.0,"What country shares a language with its more populous northern neighbor but in its written form omits a letter that looks like a Greek beta, writing the sound instead by doubling another letter? That character appears in that language's words for foot, big, outside, and street",Swiss German,0,0.0,0.0,0.0
"If during weightlifting you load up your bar with two 20kg plates on each side and the standard olympic bar itself weighs the same as one of those plates, how much total weight would one lift?",0.0,0.0,1.0,,,,,,0.0,0.0,1.0,"If during weightlifting you load up your bar with two 20kg plates on each side and the standard olympic bar itself weighs the same as one of those plates, how much total weight would one lift?",100kg / 220 pounds,0,1.0,0.0,0.0
"What 2000 film features the actors who played Batman from 2008's ""The Dark Night"", the Joker from 2016's ""Suicide Squad"", and the Green Goblin from 2002's Spiderman and was the directed by the same director as 2005's ""The Notorious Betty Paige""?",1.0,0.0,0.0,,,,,,0.0,0.0,1.0,"What 2000 film features the actors who played Batman from 2008's ""The Dark Night"", the Joker from 2016's ""Suicide Squad"", and the Green Goblin from 2002's Spiderman and was the directed by the same director as 2005's ""The Notorious Betty Paige""?",American Psycho,0,0.0,0.0,0.0
What country won the most recent world cup?,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,What country won the most recent world cup?,Argentina,0,1.0,0.0,0.0
Herodotus claims that the Persians used what animal against their foes at the battle of Pelusium?,0.0,1.0,0.0,,,,,,0.0,0.0,1.0,Herodotus claims that the Persians used what animal against their foes at the battle of Pelusium?,cats,1,0.0,0.0,0.0
"In 2011, education minister Armen Ashotyan announced that what board game as a required subject in his nation's schools?",0.0,0.0,1.0,,,,,,0.0,1.0,1.0,"In 2011, education minister Armen Ashotyan announced that what board game as a required subject in his nation's schools?",chess,1,1.0,,1.0
