DPR,LLAMA,GPT4,A,B,C,D,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
0,0,0,1.0,,,,"The author's preface to this play ironically begins by claiming that it needs a sequel instead of a preface.  In this play's final act, a man resents having to lecture for the Wannafeller Moral Reform",Pygmalion (play),0,0,0.0,0,0,0,0
0,0,1,0.0,,,,"This composer included accompaniment from a glass harmonica in his aria beginning ""The sweet sound of his voice struck me!""  In an opera by this man, the Marquise of Berkenfield whisks away a relative to make her a lady just as a tenor sings an aria containing nine high Cs, ""Ah!  mes amis,"" ",Gaetano Donizetti,1,1,0.0,0,0,0,0
0,0,1,,1.0,,,"This composer included accompaniment from a glass harmonica in his aria beginning ""The sweet sound of his voice struck me!""  In an opera by this man, the Marquise of Berkenfield whisks away a relative to make her a lady just as a tenor sings an aria containing nine high Cs, ""Ah!  mes amis,"" to express his joy",Gaetano Donizetti,1,0,0.0,0,0,0,0
0,0,1,0.0,,,,"Elite warriors of this empire wore a distinctive white and black checkered tunic with a red v-neck.  Before embarking on a military campaign, priests in this empire sacrificed children and black pack animals.  This was the largest empire whose troops regularly used bolas in combat.  Jared Diamond argued",Inca Empire,0,1,0.0,1,0,1,1
0,1,1,,1.0,,,"Elite warriors of this empire wore a distinctive white and black checkered tunic with a red v-neck.  Before embarking on a military campaign, priests in this empire sacrificed children and black pack animals.  This was the largest empire whose troops regularly used bolas in combat.  Jared Diamond argued that this empire's demise was partly due to their lack of iron working, allowing a force of two hundred adversaries to slay seven thousand of this empire's warriors at Cajamarca.  Atahualpa was the last emperor of, for 10 points,",Inca Empire,1,1,1.0,1,1,1,1
0,1,1,1.0,,,,"In Matthew 12, when the Pharisees ask Jesus for a sign, Jesus tells ""A wicked and adulterous generation"" that there will be none except for the sign of this man.  God tells this ""son of Amittai,"" or truth, that the lord has concern for ""a hundred and twenty thousand people",Jonah,0,1,0.0,1,1,1,1
0,1,1,1.0,,,,"The fragment ""A Ship of Death"" was adapted from this language during a years-long translation project in which its author identified a verb meaning ""to suffer"" that he recognized from his childhood.  A cowherd composed a poem about the creation of the world in this language after he was granted the gift of song in a dream. ""  Caedmon's Hymn"" is in this language,","Old English
",1,1,1.0,1,1,1,1
0,1,1,1.0,,,,"Early photographs of this region, such as Woodward's Gardens, were taken by Carleton Watkins and published under the pseudonym Helios.  A Robert Frank photograph taken in this state shows a tarp-covered car framed by two large trees.  A photograph of a man reading a newspaper in front of a public works building and a photograph of young girls performing calisthenics were taken in this state",California,1,1,1.0,1,1,1,1
0,1,1,0.0,,,,"The guardian of a pass at a frontier-mound compares this man to a ""wooden bell"" that alerts the people of danger.  This man says that the strength of the north is in weapon-making, the strength of the south is in gentleness, and the strength of the Noble Man is to stand in the center, in a book attributed to his grandson, Doctrine of the Mean.  ",Confucius,0,1,0.0,0,1,1,1
0,1,1,,1.0,,,"The guardian of a pass at a frontier-mound compares this man to a ""wooden bell"" that alerts the people of danger.  This man says that the strength of the north is in weapon-making, the strength of the south is in gentleness, and the strength of the Noble Man is to stand in the center, in a book attributed to his grandson, Doctrine of the Mean.  A tradition named for this man champions five ""constants"" and four ""virtues"", and includes the Four Books and the Five Classics.  For 10 points, name this man",Confucius,1,1,1.0,1,1,1,1
0,1,1,1.0,,,,Frey and Aly cite Laroui's critique of this language as an excuse for a long-delayed translation of Kant.  A 2002 Peter Adamson book is titled for a fragment in this language written by one of many people known by the name of pseudo-Aristotle.  A thinker who wrote in this language adapted Philoponus's argument that the world is not eternal in his text On First Philosophy.  A philosopher writing in this language told of ascetic life in The Revival of the Religious Sciences and described twenty errors made by a predecessor,Arabic,1,1,0.0,0,1,1,1
0,0,1,0.0,,,,"n this novel, a man relates the story of the ""Trial of the Jawbone,"" in which he debated an English scientist on the authenticity of a Quaternary fossil.  A character in this novel almost starves his nephew to death when he forces him to go without food until they can decode a message written in a runic cipher by the alchemist Arne Saknussemm.  The main characters of this book see a coastal plain full of massive mushrooms and a battle between two dinosaurs after entering the crater ",Journey to the Center of the Earth,1,1,0.0,0,1,1,1
0,1,1,,1.0,,,"n this novel, a man relates the story of the ""Trial of the Jawbone,"" in which he debated an English scientist on the authenticity of a Quaternary fossil.  A character in this novel almost starves his nephew to death when he forces him to go without food until they can decode a message written in a runic cipher by the alchemist Arne Saknussemm.  The main characters of this book see a coastal plain full of massive mushrooms and a battle between two dinosaurs after entering the crater of an Icelandic volcano. ",Journey to the Center of the Earth,0,1,0.0,0,1,0,1
0,0,1,1.0,,,,"In this novel, a boy is shocked when his teacher asks him to use crayon rubbings to create the impression of a gravestone from a historical cemetery during a field trip.  The protagonist of this book dates an english major named Ruth until she returns from a study abroad in Britain, later taking up with the art historian Maxine Ratliff.  A man in this novel survived a train accident by signaling for help with a page from a collection of Russian short stories, leading him to call his son Gogol. ",The Namesake,0,1,0.0,0,1,1,0
0,0,0,1.0,,,,"A Theory of Justice defines the ""original position"" as this concept ""within the framework of an empirical theory.  "" This concept is defined by an ""autonomy formula"" and a ""humanity formula"" that holds that we should never use other people solely as a means rather than as an ends.  This concept, which is more wide-reaching than similar ""hypothetical"" statements, is described","Categorical imperative
",0,0,0.0,0,0,0,0
0,0,0,1.0,,,,"In 2017, the holder of this position was criticized for insulting Bashar al-Assad by claiming that even Adolf Hitler didn't use chemical weapons.",White House Press Secretary,0,0,0.0,0,0,0,1
0,0,0,1.0,,,,"This writer asked for the ""sacred threads"" of the ""works of my beloved teacher"" in his poem beginning ""If Love or Death do not bring some flaw / to this new cloth that I now weave.""  He wrote a posthumously published dialogue with Saint Augustine titled Secretum and, in a letter, told of taking a copy of the Confessions on an ascent of Mont Ventoux.",Petrarc,0,1,0.0,0,1,1,1
0,1,1,,0.0,,,"Robert Kennedy memorialized his brother by quoting Romeo and Juliet during a DNC held in this city, which nominated Lyndon Johnson in 1964.  A politician in this city was known for wearing a suit with a red carnation in his buttonhole.  A 1929 summit in this city marked the founding of the National Crime Syndicate.  Enoch ""Nucky"" Johnson was a crime boss in this city, where the modern incarnation of the Miss America Pageant began in 1921.  Nelson Johnson's book Boardwalk Empire is about, for 10 points, what New Jersey resort town?","Atlantic City, New Jersey",1,1,1.0,1,1,1,0
0,1,1,1.0,,,,"Robert Kennedy memorialized his brother by quoting Romeo and Juliet during a DNC held in this city, which nominated Lyndon Johnson in 1964.  A politician in this city was known for wearing a suit with a red carnation in his buttonhole.  A 1929 summit in this city marked the founding of the National Crime Syndicate.  Enoch ""Nucky"" Johnson was a crime boss in this city, where the modern incarnation of the Miss America Pageant began in 1921.  Nelson Johnson's book Boardwalk Empire is about, for 10 points, what New Jersey resort town?","Atlantic City, New Jersey",1,1,1.0,1,1,1,0
0,1,1,,1.0,,,"Many objects used in this activity are made according to the design of Howard Staunton. The ""hypermodern"" strategy","Chess
",0,1,0.0,1,1,1,1
0,1,1,1.0,,,,"The majority of people who participate in the Umuganda ritual of compulsory community service are from this ethnic group.  These people gained power in a Social Revolution sometimes called the Wind of Destruction.  These people are the majority of the population in the habitat of-  and once subjugated- the Twa pygmy people.  The Interahamwe militia, comprised of ",Hutu,1,1,1.0,1,1,1,0
0,0,0,1.0,,,,"Aristomenes was honored as a hero for his role in leading one of these events.  According to Thucydides, Pausanias was killed for consorting with Persians and for planning one of these events.  Cimon was ostracized after the Spartans ordered his hoplites back to Athens during one of these events, in which the perpetrators established a stronghold on Mount Ithome after an earthquake.","Slave rebellion
",0,1,0.0,0,0,0,0
0,0,1,,0.0,,,"As USAG for the Southern District, he investigated Bill Clinton's parton of Marc Rich in light of"," James Comey
",0,0,0.0,0,0,0,1
0,0,1,1.0,,,,"As USAG for the Southern District, he investigated Bill Clinton's parton of Marc Rich in light of Rich's donations to the Clinton Presidential Library.    He was acting attorney general in March 2004 when John Ashcroft was hospitalized and resisted expanding domestic wiretapping.    His college thesis compared Reinhold Niebuhr and Jerry Falwell and led to the discovery of this Twitter account."," James Comey
",0,0,0.0,1,1,1,0
0,0,1,1.0,,,,"J. Gordon Coogler, who was nicknamed the ""last bard"" of this region, wrote a poem that laments ""her books have grown fewer.  ""  This region was called the most backwards part of its country in the essay ""The Sahara of the Bozart.","Southern United States
",0,0,0.0,0,0,0,0
0,0,0,,1.0,,,"In early 2018, this college's team became embroiled in a scandal when its star player's name appeared in a black market book for a thirty six thousand dollar payment marked ""bad loan.  "" Before playing eight seasons as a point guard for the Washington Wizards, John Wall played a year for",University of Kentucky,0,1,0.0,1,0,1,1
0,0,1,1.0,,,,Thomas the Rhymer prophecies that this man will lead a glorious life in an epic poem named for him that shares many episodes with a similar work by John Barbour.  This man killed the sheriff William Heselrig in a skirmish at Lanark.  This subject of a poem by Blind Harry resigned his command,William Wallace,1,0,0.0,1,1,1,0
0,1,1,1.0,,,,"A group called the Iron and Stone Ramification, or the VVS, advocated against the European rule of this region, which began when a protectorate was established with the Sakalava people. ","Madagascar
",0,0,0.0,1,1,1,1
0,0,1,1.0,,,,"Applying this law to anisotropic media normally requires finding the roots to a sixth-order polynomial equation.  Some metamaterials achieve a ""reversal"" of this law.  ","Snell's law
",0,0,0.0,1,0,1,1
0,1,1,1.0,,,,"The lead-up to this was included a dispute over lead mining rights supposedly granted by the Treaty of St. Louis.  In the aftermath of this war, Winfield Scott concluded the purchase of the Forty-Mile Strip.  In the decisive action of this war, a brigade under Henry Atkinson massacred the members of the ""British Band"" at the Battle of Bad Axe.  Abraham Lincoln's","Black Hawk War
",1,0,0.0,1,1,1,1
0,0,1,1.0,,,,"Pilley and Reid used play-rewards to teach over a thousand words to one of these animals named Chaser.  In an experiment partly conducted by Steven Maier, three groups of these animals were subject to electric shocks in shuttle boxes; those who had previously received ""inescapable"" shocks demonstrated learned helplessness",Dog,1,1,0.0,1,1,1,1
0,0,1,1.0,,,,"This man reached an agreement with the British diplomat George Russell Clerk that allowed his National Army to occupy most of his country's territory.  While this man was negotiating with a rival at Klessheim, that rival ordered the occupation of this man's country in Operation Margarethe.  Otto Skorzeny kidnapped this man's son using","Miklos Horthy
",0,0,0.0,0,0,0,1
0,0,1,1.0,,,,"This dynasty received the French ambassador Victor Collin de Plancy, the subject of the book ""The Court Dancer.""  An assassination plot in 1456 led to the execution of the six martyred minsters, who wrote death poems affirming their loyalty to this dynasty.  A naval commander from this dynasty improved the",Joseon,1,1,0.0,0,1,1,1
0,0,0,,1.0,,,"Frederick Forsythe's first book was about this war, and he inspired a literary character",Nigerian Civil War,0,0,0.0,0,0,0,0
0,0,1,,0.0,,,"An artwork produced in this country uses blue, white, black, and grey to depict eight people engaging in the title Baccarat Game.  The second cover of a magazine produced in this country shows a large red square and a large black number two, while its first cover, by Vilmos Huszar, shows black geometric shapes on a light green","Netherlands
",0,1,0.0,0,0,1,1
0,1,1,1.0,,,,"An artwork produced in this country uses blue, white, black, and grey to depict eight people engaging in the title Baccarat Game.  The second cover of a magazine produced in this country shows a large red square and a large black number two, while its first cover, by Vilmos Huszar, shows black geometric shapes on a light green background.  A painter from this country decided only to work in yellow, red, and blue- bounded by black, white, and gray.  For 10 points, name this country where neoplasticism was championed by Piet Mondrian and Theo van Doesburg.","Netherlands
",1,1,1.0,1,1,1,1
0,0,0,1.0,,,,"Possession by these beings can be treated by vigorously blowing air into the victim's mouth while cursing.  These beings did not realize the death of their master until a worm gnawed away his staff, ",Jinn,0,0,0.0,0,0,0,0
0,0,1,,,1.0,,"This leader provided funding for and once named a massive mosque in Kampala, Uganda, whose construction had been discontinued in 1976.  This man and his followers instigated the One September Revolution by enacting Operation Jerusalem.  The king Idris",Muammar Gaddafi,1,1,0.0,1,1,1,1
0,1,1,,,,0.0,"An island in this river contains a Holocaust memorial in which 200,000 lights can be viewed in an underground chamber, the Memorial to the Martyrs of the Deportation. Richard the Lionheart ordered the construction of the Gaillard fortification on the banks of this river. This river's mascaret tidal bore was eliminated through continual dredging starting in the 1860s. The Oise River is a tributary of this river, which is naturally",Seine,0,1,1.0,1,1,1,1
0,1,1,,,1.0,,"An island in this river contains a Holocaust memorial in which 200,000 lights can be viewed in an underground chamber, the Memorial to the Martyrs of the Deportation. Richard the Lionheart ordered the construction of the Gaillard fortification on the banks of this river. This river's mascaret tidal bore was eliminated through continual dredging starting in the 1860s. The Oise River is a tributary of this river, which is naturally navigable by seagoing vessels as far as Rouen after they pass by the port of Le Havre. For 10 points, what river is crossed by the Pont Neuf in Paris?",Seine,1,1,1.0,1,1,1,1
0,0,0,,,1.0,,"Ritchie Watson commended this play's historical accuracy for getting the price for a dozen eggs right- ten cents- to defend against Elizabeth Hardwick's contention that it was a sentimental history.  At the end of this play, a man wonders why a wheelchair is at the top of a staircase",The Little Foxes,0,0,0.0,0,0,0,0
0,0,1,,,0.0,,"This thinker described a gap between virtual social identity and actual social identity, in a theory of how some people become deeply discredited by society.  This thinker identified",Erving Goffman,1,1,0.0,1,0,0,1
0,0,1,,,,1.0,"This thinker described a gap between virtual social identity and actual social identity, in a theory of how some people become deeply discredited by society.  This thinker identified orphanages, sanitariums, and prisons as exampeles of five types of institutions where members are expected to ""resocialize,"" termed total institutions.  This man developed a theory of stigma and described ""back region"" conduct that is necessary for, but inconsistent with, ""front region"" performance.  For 10 points, name this sociologist who pioneered the dramaturgical approach in The Presentation of Self in Everyday Life.",Erving Goffman,1,1,1.0,1,1,1,1
0,0,1,,,,0.0,"This philosopher originated the line of reasoning that it is rational to ask what the place of an object is, but it is not rational to ask what the place of a place is.  Book VI of Aristotle's Physics is largely about this thinker, and discusses his analysis of three groups of people in three rows running",Zeno of Elea,0,0,0.0,1,0,1,1
0,0,1,,,1.0,,"This philosopher originated the line of reasoning that it is rational to ask what the place of an object is, but it is not rational to ask what the place of a place is.  Book VI of Aristotle's Physics is largely about this thinker, and discusses his analysis of three groups of people in three rows running past each other in a stadium.  This thinker shares",Zeno of Elea,0,1,0.0,1,0,1,0
0,1,1,,,,0.0,"The MyZeil shopping center in this city designed Massimiliano Fuksas resembles a Klein bottle.    In 1909, the world's",Frankfurt,0,1,0.0,1,0,1,1
0,0,1,,,1.0,,"The MyZeil shopping center in this city designed Massimiliano Fuksas resembles a Klein bottle.    In 1909, the world's first airline, DELAG, was founded in this city, and this city was the origin of the Hindenburg.    The headquarters for IG Farben, the Poelzig Building, was the site of the Headquarters of the Allied European Forces and is now the main lecture hall of Goethe University.    The ten tallest buildings in Germany are located in this city, including the tallest, Commerzbank Tower.    For 10 points, name this Hessian city, the commercial center of Germany on the Main River.",Frankfurt,1,1,1.0,1,1,1,1
0,0,1,,,,0.0,"In Our Town, a character with this given name explains Grover's Corners' place in the universe.  In The Crucible, a character with this first name contends that the girls' actions are part of their ""silly seasons""",Rebecca,0,1,0.0,0,0,1,1
0,0,1,,,1.0,,"In Our Town, a character with this given name explains Grover's Corners' place in the universe.  In The Crucible, a character with this first name contends that the girls' actions are part of their ""silly seasons"" and is the wife of Francis Nurse.  A novel with this name, which conducts hidden messages to Rommel in The English Patient, is titled for a character who is killed in a boating accident at Manderley.  For 10 points, give this name of a Daphne du Maurier gothic novel",Rebecca,1,1,1.0,1,0,1,1
0,0,0,,,,0.0,"A museum in this country contains the Colonna Venus, which is the best preserved ancient replica of a Praxitiles statue.  A sculpture located in this country consists of a stained glass dove above a bronze throne.  A bonze canopy in this country is supported by marble plinths that depict an allegory of childbirth.  A sculpture housed in this country that was unearthed in 1506 depicts Laocoon","Vatican City
",0,0,0.0,0,0,0,0
0,0,1,,,1.0,,"A museum in this country contains the Colonna Venus, which is the best preserved ancient replica of a Praxitiles statue.  A sculpture located in this country consists of a stained glass dove above a bronze throne.  A bonze canopy in this country is supported by marble plinths that depict an allegory of childbirth.  A sculpture housed in this country that was unearthed in 1506 depicts Laocoon and his sons being eaten by serpents during the Trojan War.  Gian Bernini's Baldachino is in, for 10 points, what very small country that contains Saint Peter's tomb?","Vatican City
",1,1,1.0,1,1,1,1
0,1,1,,,,1.0,"Selmer Bringsjord articulated strategies to judge if this were passed, including asking participants to write a short story.  Levesque, Davis, and Morgenstern propose an alternative: resolving referential ambiguities called the Winograd Schema Challenge.  Mark Halpern's ""The Trouble with"" ~this~ criticized the Loebner prize.  Searle's Chinese Room argues","Turing test
",0,1,0.0,0,0,0,1
0,0,0,,,,1.0,A technique named for these organisms has been used to develop monoclonal antibody drugs such as adalimumab.  The presence of these organisms did not cause mutations in the Luria-Delbruck Experiment.  George Smith shared the 2018,Bacteriophage,0,0,0.0,1,0,1,0
0,0,0,,,,1.0,"This author's poem once claimed that its first line referred to ""All our scientific, democratic, fact-accumulating heterogeneous civilization.  "" Initial drafts of this poem included a ""winged beast"" like that in its author's play On Baile's Strand.  This poem lables ""A shape with lion body ",The Second Coming (poem),0,1,0.0,0,0,0,1
0,0,1,,,,1.0,"This man wrote a three-part treatise on his failures titled Social Reconstruction, Psychological Reconstruction, and Material Reconstruction.  Toten Miyazaki gave this man the pseudonym Nakayama Sho in Japan.  He signed a manifesto",Sun Yat-sen,0,0,0.0,0,0,0,0
0,0,1,,,1.0,,"He was the head of a military band at Richmond for the Earl of Darlington and later the organist at the Octagon Chapel in Bath.  In unpublished notes taken in May 1776, he claimed to see forests on the moon.  His name is attached to an off-axis telescope that tilts the primary mirror to prevent observer obstruction.  His first paper was on the variable star",William Herschel,1,1,1.0,1,1,0,1
0,0,0,,,1.0,,"His aliases include: Pastor Hansford of Free Will Baptist in Coushatta, Louisianna; Viktor with a K St. Claire, a South African who just inherited money from his uncle; Charlie Hustle, a mailboy in the HHM mailroom; and Gene Takavic, a Cinnabon manager in Omaha.  His best known alias",Better Call Saul,0,10,0.0,0,0,0,0
1,0,1,,,,1.0,"After this empire's final ruler was assassinated on a parade ground, its lands were invaded by Demetrius I, the Invincible.",Maurya Empire,0,0,0.0,0,0,0,0
0,0,0,,,,1.0,Franco Modigliani argued that this construct was only applicable for values below a level he termed NAIRU.  Additional research surrounding the,"Phillips curve
",1,1,0.0,0,0,1,0
0,1,0,,,0.0,,"A discipline founded by this man originated so-called ""time-and-motion"" studies.  This man argued for the creation of separate ""planning offices"" that popularized the modern conceptualization of bulletin boards. ","Frederick Winslow Taylor
",1,1,1.0,0,1,1,1
0,1,1,,,,1.0,"A discipline founded by this man originated so-called ""time-and-motion"" studies.  This man argued for the creation of separate ""planning offices"" that popularized the modern conceptualization of bulletin boards.  A colleague and ideological associate of this man, Henry Gantt, developed a chart for plotting the time frames for the completion of sequential tasks.  He argued for the adoption of universal shovel sizes and developed a tungsten-cutting technique while working at Bethlehem Steel.","Frederick Winslow Taylor
",1,1,1.0,1,1,1,0
0,1,0,,,1.0,, Zebulon Vance staunchly opposed a conscription order issued by this man.  This man took up residence at the Brierfield Plantation after,Jefferson Davis,1,1,0.0,1,1,1,1
0,1,1,,,0.0,,"A congressman from this state added a set of namesake amendments to the Hepburn Act to facilite its passage through the senate.  This state's first republican governor, Ralph P. Lowe, practiced law with the man who became grant's Secretary of War, William Belknap.  Richard Bland co-names an act that restored bimetallism with a senator from this state, William Allison.  A politician from this state served as Secretary of Agriculture for most of the Great Depression.  Henry Wallace hailed from, for 10 points",Iowa,1,1,1.0,1,1,1,1
0,1,1,,,,1.0,"A congressman from this state added a set of namesake amendments to the Hepburn Act to facilite its passage through the senate.  This state's first republican governor, Ralph P. Lowe, practiced law with the man who became grant's Secretary of War, William Belknap.  Richard Bland co-names an act that restored bimetallism with a senator from this state, William Allison.  A politician from this state served as Secretary of Agriculture for most of the Great Depression.  Henry Wallace hailed from, for 10 points, what midwestern state where the cities of Davenport and Des Moines were founded?",Iowa,1,1,1.0,1,1,1,1
0,1,1,,,,1.0,"A controversial Donald Trump tweet about this disease stated, in all caps, that ""THE UNITED STATES HAS ENOUGH PROBLEMS!""  STRIVE is an trial for a vaccine of this disease, whose most significant epidemic occurred between the years of 2013 and 2016.  The presence of Mai-Mai militias has hindered international efforts to stop an outbeak of this disease, which began in Beni in 2018",Ebola virus,1,1,1.0,1,1,1,1
0,0,1,,,1.0,,"A lower-bound temperature named for this phenomenon is equal to Plank's constant times the spectral linewidth over two times Boltzmann's constant, and can be exceeded using an optical molasses.","Doppler effect
",0,1,0.0,1,0,1,1
0,0,0,,,1.0,,"This novel includes an aside in which the voice of Socrates declares that knowledge and beauty both lead into an abyss.  When confronted with a desperate thirst, this novel's main character buys some overripe strawberries","Death in Venice
",0,0,0.0,0,0,0,0
0,1,1,,,,1.0,"An army that took its name from this geographical feature had a British doctor, James Paroissien, as its Surgeon General, and recent scholarship by Peter Blanchard revealed its use of slaves.  That army crossed this geographical feature according to Thomas Maitland's plans at Uspallata and Los Patos.  Spanish forces under Rafael Maroto were defeated in the foothills of",Andes,1,1,1.0,1,1,1,1
0,0,0,,,,0.0,The German name for these events comes from the title of a Stefan Zweig novel that combines the German word for runner with an Indonesian term- Amoklaufer. ,Mass shooting,0,0,,0,0,0,0
0,1,1,,,1.0,,"The German name for these events comes from the title of a Stefan Zweig novel that combines the German word for runner with an Indonesian term- Amoklaufer.  A set of fingerprints implicated the filipino woman Marilou Danley in one of these events in 2017.  In Florida, one of these events was carried out at the Pulse gay nightclub in 2016, and another occurred at Marjory Stoneman Douglan High School in",Mass shooting,1,1,1.0,1,0,1,1
0,0,1,,,,1.0,This artist probably depicted himself with blond hair and a yellow cloak on the far right of a painting that shows Mary and the infant Jesus ,Sandro Botticelli,0,0,0.0,0,0,0,0
0,0,0,,,,1.0,"In a novel by this author, a detective wraps his arm to survive a dog attack, thus obtaining a bullet identical to one used to kill the policeman Schmied.  This author wrote a play in which yellow shoes symbolize how the town of ",Friedrich Durrenmatt,0,1,0.0,0,0,1,0
0,1,1,,,0.0,,"A painting by this artist presents a tree as a cupboard with two doors, behind which are a white sphere and a miniature lighted house.",Rene Magritte,0,1,0.0,0,0,0,1
0,1,1,,,,1.0,"A painting by this artist presents a tree as a cupboard with two doors, behind which are a white sphere and a miniature lighted house.  A series of three paintings by this man shows a daytime sky with cumulus clouds above a dark house illuminated by a lamppost.  This artist of Blood Will Tell and The Empire of Lights depicted a clock set to 12:43 as a locomotive speeds out of a fireplace and a man in a bowler hat with an apple in front of his face.  For 10 points, name this Belgian surrealist painter of the Son of Man and Time Transfixed.",Rene Magritte,1,1,1.0,1,1,1,1
0,0,1,,,1.0,,"This country's First Armoured Division held Hill 262 during the Battle of the Falaise Pocket.  A force of troops from this country, Anders' Army, marched through Iran to Palestine in mid-1942.",Poland,1,1,0.0,1,1,1,1
0,1,1,,,1.0,,"In 2018, the FDA approved Merck's drugs Delstrigo and Pifeltro to treat this disease, noting that they caused a surprising positive side effect of lowering cholesterol.  It is often treated using a cocktail of protease and integrase inhibitors.  Burroughs-Wellcome marketed the",HIV,1,1,1.0,1,1,1,1
0,0,1,,,,0.0,"An essay titled for this concept expands upon Wilhelm von Humboldt's assertion that a ""variety of situations"" is necessary for human development.  An essay partly titled for this concept claims that Stoics and Buddhists seek self-mastery",Liberty,0,0,0.0,0,0,0,0
0,0,1,,,1.0,,"An essay titled for this concept expands upon Wilhelm von Humboldt's assertion that a ""variety of situations"" is necessary for human development.  An essay partly titled for this concept claims that Stoics and Buddhists seek self-mastery through self-denial in its discussion of the ""Retreat to the Inner Citadel.  ""  A 1958 Oxford lecture analyzed the ""positive"" and ""negative"" varieties of this",Liberty,0,0,0.0,0,0,0,0
0,0,0,,,,1.0,"The main character of a story by this author opens Crime and Punishment to a random page, but finds it to be a copy of The Brother Karamazov, and equates himself with Monsieur Bovary.  This author wrote a story in which the priest Naigu undergoes a boiling treatment to decrease the size of his nose. ","Ryunosuke Akutagawa
",0,0,0.0,0,0,0,0
0,0,1,,,,1.0,Suetonius describes two gigantic boats commissioned by this ruler that were recovered,Caligula,1,1,0.0,0,1,1,1
0,0,1,,,,1.0,"This man's first wife was Elisaveta, the daughter of Yaroslav the Wise of Kiev.  This king once served as a mercenary in the Byzantine Varangian guards, in","Harald Hardrada
",0,1,0.0,0,1,1,1
0,0,1,,,1.0,,"The final step of one reaction of this type converts raney nickel into two nickel disulfides and is named for a Merck chemist, Mozingo.  Another of these reactions creates a cyclohexadiene from an aromatic ring, and is commonly performed in liquid ammonia.  Usually, a hydrazone is formed and nitrogen gas is emitted in two intermediate steps of one of these reactions named for Wolff",Reductions,0,0,0.0,0,0,1,0
0,0,1,,,,1.0,"This composer's writings refer to his closeted homosexuality using the letter ""z"" and the phrase ""xxx.""  In a symphony by this composer, the andante second movement contains a horn solo shortly after the key shifts",Pyotr Ilyich Tchaikovsky,1,0,0.0,0,0,0,0
