Questions,Answer,Advtype,Category,Composing Seen Clues,Irrelevant / Novel Clues,Multi-Step Reasoning,Location Misdirection,Temporal Misdirection,Logic & Calculation,Crosslingual,Negation,Domain Expertise,Commonsense / General Knowledge
"Despite a childhood accident that left his shoulders permanently crooked, what Lebanese-American author of a work that entered the public domain in 2019 became famous for his poetry and subtle influence on New Age philosophy?",Gibran Khalil Gibran/Khalil Gibran,Multi-Step Reasoning,Literature,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
What was the new feature installed in 1899 on the building of a New York restaurant for the first time ever?,Revolving Door,Composing Seen Clues,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What phrase is common to the title of novel featuring a fictional Nat King Cole recording, a Gene Autry film and song, and an I-95 attraction between the Carolinas?",South of the Border,Composing Seen Clues,Music,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
What meme that features a man sitting in a chair next to an unlit cigar and in front of a fireplace came from the Last Dance?,and I took that personally,Commonsense Knowledge,TV and Film,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"This Calculus theorem requires continuity on a closed interval between two points, a and b, as well as differentiability. What theorem, which requires the functional values of a and b to match, produces that a point between the open interval has a derivative of zero?","[""Rolle's Theorem""]",Composing Seen Clues,Science,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"This book was created by a known author who creates children's books, one of which has a creature who ""speaks for the trees"" Name the book by the same author whose title consists of a type of aquatic creature, two colors of the rainbow, and numbers.","One Fish, Two Fish, Red Fish, Blue Fish",Composing Seen Clues,Literature,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"This cheerful duo sings in a musical which repeats a phrase about the lack of trouble, in an East African language, while on the protagonist's journey home. What is the name of this duo?",Timon and Pumbaa,Composing Seen Clues,TV and Film,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"In which novel, written by an author who was originally a botanist and born in Cuba, features a fictitious conversation between a merchant who travelled a road that was known by a smooth natural material and an emperor who loved to write Chinese poetry, both of which are actual people in history?",Invisible Cities,Novel Clues,Literature,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Which American alternative pop singer, who rose to popularity in 2012 after appearing on The Voice, shares her name with a song written by Toto in 1999?",Melanie Martinez,Composing Seen Clues,Music,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who was the woman soccer player known to have the third most international goals scored on the United States national team as of 2017?,Mia Hamm,Logic & Calculation,Sport,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
What is the name of the first mosque in the world that was built by Prophet Muhammed (s.a.w) during his hijrah from Mecca to Medina?,Quba Masjid,Composing Seen Clues,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What song refers to this popular singer's breakup with her ex-partner, who called her 23 times and then proceeded to marry a model two months after they broke up?",Ring,Composing Seen Clues,Music,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A large portion of the sequence for the reference genome for the International Human Genome Sequencing Consortium in the human genome project came from a man from which US city?,"Buffalo, New York",Multi-Step Reasoning,Science,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
What U.S. criminal and world champion of his sport violated a United Nations sanction in 1992 and proceeded to live in Asia and Europe?,Bobby Fischer or Robert James Fischer,Composing Seen Clues,Sport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Who raised a bird in the Shawshank Redemption,Brooks Hatlen,Commonsense Knowledge,TV and Film,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What is awarded to the opposing team after a player scores in their own goal during a kickoff in soccer?,Corner Kick,Multi-Step Reasoning,Sport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What cardinal direction on a compass can not be found in the name of a US state?,East,Logic & Calculation,Geography,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
This country is the first country to develop the voicemail technology and is home to the largest known dog cemetery of the ancient world.,Israel,Composing Seen Clues,Geography,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Name the country whose capital is named after the American president who introduced his namesake doctrine regarding the independence of Latin America.,Liberia,Logic & Calculation,Geography,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"For 10 points, name the title character of the 2022 Best Picture nominee about a fictional conductor who was mentored by Leonard Bernstein.",Lydia Tar,Temporal Misalignment,TV and Film,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This city was once named after a man born Ioseb Besarionis dze Jughashvili,Volgograd,Multi-Step Reasoning,Miscellaneous,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
This company was co-founded in 1977 by the man who in May 2016 donated 200 million to the University of Southern California for establishing a cancer research center,Oracle Corporation,Multi-Step Reasoning,Miscellaneous,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"This is the most common medication used to treat the disease that killed Vasco da Game, Pope Urban VII, and Oliver Cromwell",Quinine,Multi-Step Reasoning,Science,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"This player's famous nickname came about when he threw with such velocity that a nearly fence looked as if it had been hit by a large air mass that rotates around a strong center of low atmospheric pressure, counterclockwise in the Northern Hemisphere",Cy Young,Multi-Step Reasoning,Sport,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"This man is credited with coining the terms Cubism, Orphism, and Surrealism",Guillaume Apollinaire,Novel Clues,Art,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This character has a version of Andy's Warhol's Shot Marilyn's hanging in his bedroom. This version features horseshoes.,BoJack Horseman,Domain Expert Knowledge,Art,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"This university, founded by a railroad tycoon in 1885, has a tree as its unofficial mascot",Stanford University,Composing Seen Clues,Miscellaneous,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"This athlete returned to his primary sport after playing baseball with a two word press release that read ""I'm back""",Michael Jordan,Multi-Step Reasoning,Sport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"This country's name means ""equator"" in Spanish",Ecuador,Domain Expert Knowledge,Geography,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"According to a famous holiday song by Adam Sandler, OJ Simpson is not a believer in this world religion",Judaism,Negation,Miscellaneous,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This actor is known for hitting another famous person after the other person made a joke about his wife's lack of hair at the Oscars in 2022,Will Smith,Multi-Step Reasoning,TV and Film,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"A person with this title used the topayauri (scepter), ushno (golden throne), and suntur páucar (feathered pike).",Sapa Inca,Composing Seen Clues,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Who wrote a novel featuring Mugo, an introverted villager of Thabai","[""Ngũgĩ wa Thiong'o""]",Domain Expert Knowledge,Literature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"This city is the birthplace of a candidate whose opponent called him ""Sleepy Joe""","Scranton, Pennsylvania",Multi-Step Reasoning,Miscellaneous,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Several of this author's curious books have onomatopoeia in the title. Perhaps if the onomatopoeia were in the author's name instead of the title, you'd find the word ""Scuttle"" or ""Hiss"" on the cover instead. What is the author's name?",Mary Roach,Composing Seen Clues,Literature,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Chemists know that these organic compounds feature four rings with a variety of bonds. Baseball fans associate this class of organic compounds with Barry Bonds, who has no rings.",Steroid,Composing Seen Clues,Science,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"The seven actors in this film have 6 Oscars, 6 Tonys, and 13 Golden Globes between them; nobody could claim that ""the leads are weak"". Despite all of that star power and a Pulitzer-winning script, though, the film adaptation couldn't close the deal, and won only a minor award at Venice.",Glengarry Glen Ross,Novel Clues,TV and Film,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Over 100 years before ""random forest"" was trademarked, and long before the invention of the transistor or digital computer, this bare-bones numerical approach was invented to help identify which variables in a high-dimensional data set are the most relevant. It is used in digital signal processing, mechanical engineering, predictive modeling, and data cleaning for machine learning.",Principal component analysis,Multi-Step Reasoning,Science,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"This American group's now-iconic name was factually inaccurate when it was first applied to the group, in the early 1980s: not because any of the members were wild animals, but because the drummer at the time was a woman.",Beastie Boys,Temporal Misalignment,Music,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"This NFL team did not have a starting quarterback in 1998, nor any players at the nose tackle or defensive end position, or in fact, any players or roster at all. Their fans once famously deployed a large three-piece banner in the end zone which read ""GPODAWUND"", because two sections of the sign had gotten swapped.",Cleveland Browns,Multi-Step Reasoning,Sport,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"This semi-mythical American trickster figure, merry prankster, and sledgehammer juggler was not much of an author or poet himself. Nonetheless he became the inspiration for characters in Ken Kesey and Jack Kerouac's books, and he shows up by name in songs by Tom Waits, the Grateful Dead, and Death Cab for Cutie.",Neal Cassady,Composing Seen Clues,Literature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"If a librarian were making a list of Wikipedia articles which are not self-referential, it's a good bet that an article about this puzzling discovery in set theory would not make the list. On the other hand, after some reflection, you might decide that it must go on the list. Or perhaps you'd then feel compelled to remove it.","[""Russell's paradox""]",Novel Clues,Miscellaneous,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Some experts object to all versions of this grammatical construct, but others are more flexible. Hopefully, you'll be able to identify it from these examples. It should be easier than shooting an elephant in your pajamas.",Dangling modifier,Novel Clues,Miscellaneous,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"The 1973 Thomas Rockwell novel for children, about a school boy who loses a gross dare, was written in America. However, a similarly-titled religious edict published in 1521 hails from this old European city of about 80,000.","Worms, Germany",Location Misalignment,Literature,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Elementary students learn the spelling of this not-so-peaceful body of water with the mnemonic ""Pa, See if I see.""",Pacific Ocean,Crosslingual,Miscellaneous,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"This island once exported chunks of semi-precious silicate stone used as currency throughout the region almost 4,000 years ago. While its primary currency is much less ubiquitous today, its modern silicon exports are still semi-precious to all its trading partners.",Taiwan,Composing Seen Clues,Lifestyle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"If you found yourself on an island where two different one-peso coins circulated, and laid one of each of them side by side, they'd nearly be as large as the smallest bird you could find on that same island. Those two pesos are drastically different in value though, at a ratio of almost 25 to 1. Where is the island?",Cuba,Multi-Step Reasoning,Miscellaneous,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"This famous Roman heavenly twin is technically the Alpha, but is outshone by his brother the Beta, possibly because the latter had Zeus for a father.",Castor (star),Novel Clues,Literature,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Despite its association with a wall begun in 122 by a Roman Emperor, a 1237 treaty fixed what geo-political concept to be a river that enters the Sea at Berwick?",Scottish-English Border,Location Misalignment,History,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"What short-lived government (in contrast, its successor lasted nearly 300 years with a brief interruption) has a name that literally means ""to follow"" and built a large waterway that connected two of its country's major bodies of water?",Sui Dynasty,Novel Clues,History,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Whose face is on the bill worth 400 nickels?,Andrew Jackson,Novel Clues,Lifestyle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What astronomical object's pronunciation is controversial for potty-humor related reasons?,Uranus,Novel Clues,Miscellaneous,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What lake gives its name to an entity that also borders 4 lakes to its west?,Lake Ontario,Composing Seen Clues,Geography,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ian Smith's country's national anthem replaced a poem by what man with new lyrics?,Friedrich Schiller,Crosslingual,Music,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What city's MLB team sounds like the name of a female horse?,Philadelphia,Multi-Step Reasoning,Sport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Take away four from a group including Barnard and Smith, and you get what play?",Three Sisters (play),Composing Seen Clues,Lifestyle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What place provides a rhyme for the title in the Rogers and Hart song Manhattan?,Staten Island,Location Misalignment,Music,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Christopher Paolini's first fantasy novel is a homophone of what Iberian region?,Aragon,Multi-Step Reasoning,Literature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
A character named for what general often wears a campaign shirt for Pedro?,Napoleon,Multi-Step Reasoning,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The national capital closest to the South Pole is named for what man?,"Arthur Wellesley, 1st Duke of Wellington",Multi-Step Reasoning,Geography,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
On The Colbert Report a host from what channel is nicknamed Papa Bear?,Fox News,Novel Clues,TV and Film,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Who was president when the original Star Wars came out?,Jimmy Carter,Novel Clues,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ice Cube compared his crime record to what man whose machinations left Roman Polanski a widower?,Charles Manson,Novel Clues,Miscellaneous,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Batman's first name was inspired by what important medieval figure?,Robert the Bruce,Multi-Step Reasoning,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Which musician made fun of Ronald Reagan for misinterpreting the message of one of his songs as patriotic?,Bruce Springsteen,Novel Clues,Music,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The name of what African country is one letter different than the name of the capital of the Maldives?,Mali,Novel Clues,Geography,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
A German admiral sailing for Russia named what islands for an English captain and not for the librettist of the HMS Pinafore nor for the announcer of Jeopardy!,Gilbert Islands,Composing Seen Clues,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"What ceremonial phrase started with an impatient mayor in September 1950 and does not date back to the origins of an annual festival 200 years ago? Either the English translation, the standard foreign form, or the local southern foreign dialect is fine.","O zapft is, It's tapped, Es ist angezapft",Composing Seen Clues,History,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"""None of them knew the color of the sky"" is the opening sentence of a story by what author, who shares his last name with a type of long-necked bird?",Stephen Crane,Novel Clues,Literature,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
What 2022 movie is based on the adolescence of the director of Jurassic Park and Schindler's List?,The Fabelmans,Composing Seen Clues,TV and Film,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What type of animal is the mascot of the university that was attended by running back Ron Dayne?,Badger,Novel Clues,Lifestyle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What position is currently held by a former prime minister of Portugal, and has previously been held by a Swedish man who died in a 1961 plane crash?",Secretary-General of the United Nations,Multi-Step Reasoning,History,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What Arabic number (e.g. 9 or 99) can be written as the sum of the Roman numerals CI and XVI?,117 (number),Logic & Calculation,Miscellaneous,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Which presidential election occurred 220 years after the one in which Thomas Jefferson defeated the incumbent, John Adams?",2020 United States presidential election,Multi-Step Reasoning,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
What war is named for a length of time equal to 84 months?,Seven Years' War,Logic & Calculation,History,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
What type of bond in chemistry shares its name with a number that is sometimes approximated as 22/7?,Pi bond,Novel Clues,Science,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"What 19th century philosopher, whose first and middle name is reminiscent of the host of The Daily Show before Trevor Noah, has a last name that rhymes with bill?",John Stuart Mill,Multi-Step Reasoning,History,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What author wrote an 1881 novel whose four-word title is the same as the title of a T. S. Eliot poem, and a 1903 novel whose two-word title is the same as the title of a Hans Holbein painting?",Henry James,Multi-Step Reasoning,Literature,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"A university, a culinary dish, and an airport code are the notable remaining users of what older form a city's name that officially starts with a ""B""?",Peking,Novel Clues,Geography,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Vincenzo from the drama of the same name, sits down with Hong Yu Chan to enjoy what libration whose name literally means ""to carelessly strain""",makgeolli,Multi-Step Reasoning,Miscellaneous,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What country shares a language with its more populous northern neighbor but in its written form omits a letter that looks like a Greek beta, writing the sound instead by doubling another letter? That character appears in that language's words for foot, big, outside, and street.",Swiss German,Composing Seen Clues,Geography,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"If during weightlifting you load up your bar with two 20kg plates on each side and the standard olympic bar itself weighs the same as one of those plates, how much total weight would one lift?",100kg / 220 pounds,Logic & Calculation,Miscellaneous,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"What 2000 film features the actors who played Batman from 2008's ""The Dark Night"", the Joker from 2016's ""Suicide Squad"", and the Green Goblin from 2002's Spiderman and was the directed by the same director as 2005's ""The Notorious Betty Paige""?",American Psycho,Multi-Step Reasoning,TV and Film,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What country won the most recent world cup?,Argentina,Temporal Misalignment,Sport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Herodotus claims that the Persians used what animal against their foes at the battle of Pelusium?,cats,Domain Expert Knowledge,History,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"In 2011, education minister Armen Ashotyan announced that what board game as a required subject in his nation's schools?",chess,Domain Expert Knowledge,Miscellaneous,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bayer was the first company to combine what organic material with the contents of its Asprin bottles, which functions both as a dessecant and to prevent pills from breaking?",cotton balls (or rayon),Composing Seen Clues,Science,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"In his memoirs, François Adrien Henri Dieudonné Thiébault described what man being attacked by a swarm of bunnies after a celibration of the Treaty of Tilsit?",Napoleon,Novel Clues,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
What country ceased to be the largest nation on its continent in 2011?,Sudan,Commonsense Knowledge,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
What pair who own 2000 bitcoin are portrayed as antagonists in the Social Network?,Winklevoss twins,Novel Clues,Miscellaneous,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What 2022 film, the English-language debut of a Swedish director, featured the final appearance of a South African actress who died of sepsis?",Triangle of Sadness,Composing Seen Clues,TV and Film,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What company named itself after a British monarch and claimed to be headquartered at 10 Margaret Street, London despite being an American company headquartered in Ohio?",Victoria's Secret,Location Misalignment,Miscellaneous,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"What substance, first isolated in 1845, inspired Hoffman to give a smelly name to its derivatives in an 1856 publication?",benzene,Multi-Step Reasoning,Science,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
The Kayan of Myanmar and the Southern Ndebele of South Africa both use what form of decoration?,Neck Ring,Novel Clues,Lifestyle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
What 1830s conflict between the province that was the birthplace of Donald Sutherland on one side and the state that is the birthplace of Stephen King had a bear as its lone casualty?,"Aroostook War (sometimes called the Pork and Beans War[1]), or the Madawaska War",Location Misalignment,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"What 1967 short story, later adapted into a 1988 film, was described as a double-suicide by its author and whose native language title combines characters for ""fire"" (火) and ""drop"" (垂)?",Grave of the Fireflies (Hotaru no Haka),Composing Seen Clues,Literature,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
In what year was the purchase of potent potables precluded by a passed repair to the primary law of the United States?,1920,Composing Seen Clues,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"If it's 11pm on New Year's Even in Kabul, what is the most populous country celebrating the start of a New Year?","India (Afghanistan is +4:30UTC, India is +5:30)",Logic & Calculation,Miscellaneous,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"In 1804, what deaf man scratched out the name of a French general born in Corsica?",Beethoven,Domain Expert Knowledge,Music,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What actress who appeared in in the 2015 installment of the Fast & Furious films got permission from a man who had a recurring role in ""It's Always Sunny in Philadelphia"" to borrow his nickname (and who also died in the same year, 2015)?",Ronda Rousey,Multi-Step Reasoning,TV and Film,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
What modern day country was The man who served in between Boutros and Ban from?,Ghana,Location Misalignment,History,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Who is the president of the country represented by the second letter in the acronym BRICS, which refers to countries with emerging economies?",Vladimir Putin,Multi-Step Reasoning,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Clarence Thomas had to deny calling himself a vulgar pun on what name?,Long John Silver,Novel Clues,Miscellaneous,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
